Source,FullRef
eMonocot,eMonocot 1.0.2. eMonocot. (2015). at <http://e-monocot.org/>
POSA,South African National Biodiversity Institute. Plants of Southern Africa: An Online Checklist ver. 3.0. (2009). at <http://posa.sanbi.org/searchspp.php>
TRY,TRY. Plant trait database. (2014). at <https://www.try-db.org/TryWeb/Home.php>
eFlora_China,"Missouri Botanical Garden, St Louis, MO & Harvard University Herbaria, Cambridge, MA. eFloras. (2008). at <http://www.efloras.org>"
Catalogue_of_the_Vascular_Plants_of_Madagascar,"Missouri Botanical Garden, St. Louis, U.S.A & Antananarivo, M. Catalogue of the Vascular Plants of Madagascar. (2013). at <http://www.efloras.org/madagascar>"
WatsonDallwitz2014,"Watson, L. & Dallwitz, M. J. The families of flowering plants: descriptions, illustrations, identification, and information. (1992 onwards). at <delta-intkey.com>"
Stevens2001,"Stevens, P. F. Angiosperm Phylogeny Website Version 12, 2012. (2001 onwards). at <http://www.mobot.org/MOBOT/research/APweb/>"
floraBolivia,"Jørgensen, P. M., Nee, M. H. & Beck, S. G. Catálogo de las plantas vasculares de Bolivia, Monographs in systematic botany from the Missouri Botanical Garden. (Missouri Botanical Garden Press, 2014)."
Peru_Checklist,"Brako, Lois & Zarucchi, J. L. Catálogo de las angiospermas y gimnospermas del Perú. (Missouri Botanical Garden, 1993)."
Species_List_flora_of_Brazil,Rio de Janeiro Botanical Garden. List of Species of the Brazilian Flora. (2008). at <http://floradobrasil.jbrj.gov.br/>
PlantNET,"The Royal Botanic Gardens and Domain Trust. PlantNET - The Plant Information Network System of The Royal Botanic Gardens and Domain Trust, Sydney, Australia ver 2.0. (2011). at <http://plantnet.rbgsyd.nsw.gov.au>"
kew,"Royal Botanic Gardens, Kew. Electronic plant information centre (ePIC). (2002). at <http://epic.kew.org/epic/>"
Catalogue_of_the_Vascular_Plants_of_Ecuador,"Jørgensen, P. M. et al. Catálogo de las plantas vasculares del Ecuador. (Missouri Botanical Garden Press, 1999)."
The_PLANTS_Database,"USDA, NRCS & National Plant Data Team. The PLANTS Database. (2015). at <http://plants.usda.gov>"
Flora_of_Pakistan,Missouri Botanical Garden & University of Karachi. Flora of Pakistan. (2015). at <http://www.tropicos.org/Project/Pakistan>
http://www.environment.gov.au/biodiversity/abrs/online-resources/flora/main/,Australian Biological Resources Study. Flora of Australia Online. (2007). at <http://www.environment.gov.au/biodiversity/abrs/online-resources/flora/main/index.html>
Nickrent2010,"Nickrent, D. L., Malécot V., Vidal-Russell, R. & Der, J. P. A revised classification of santalales. Taxon 59, 538-558 (2010)."
keralaplants,"Sasidharan, N. Flowering Plants of Kerala ver. 2. (2011). at <http://keralaplants.in/index.html>"
Anderson2001,"Anderson, E. F. The cactus family. (Timber Press, 2001)."
PotterEtal2007,"Potter, D. et al. Phylogeny and classification of Rosaceae. Plant Syst. Evol. 266, 5-43 (2007)."
Bennett&Matthews2006,"Bennett, J. R. & Mathews, S. Phylogeny of the parasitic plant family Orobanchaceae inferred from phytochrome A. Am. J. Bot. 93, 1039–1051 (2006)."
http://www.flora.sa.gov.au/index.html,State Herbarium of South Australia. Electronic Flora of South Australia. (2007). at <http://www.flora.sa.gov.au/index.html>
Gallagher2012,"Gallagher, R. V. & Leishman, M. R. A global analysis of trait variation and evolution in climbing plants. J. Biogeogr. 39, 1757–1771 (2012)."
