sp,support,woodiness,nfixing
Acacia conjunctifolia,F,NA,NA
Acacia conniana,F,NA,NA
Acacia consanguinea,F,NA,NA
Acacia consobrina,F,NA,NA
Acacia conspersa,F,W,NA
Acacia constablei,F,NA,NA
Acacia continua,F,NA,NA
Acacia convallium,F,NA,NA
Acacia coolgardiensis,F,W,NA
Acacia coriacea,F,W,Yes
Acacia cornigera,F,W,Yes
Acacia costata,F,NA,NA
Acacia costiniana,F,NA,NA
Acacia coulteri,F,NA,NA
Acacia courtii,F,NA,NA
Acacia covenyi,F,W,NA
Acacia cowaniana,F,W,NA
Acacia cowleana,F,W,Yes
Acacia cracentis,F,NA,NA
Acacia craspedocarpa,F,W,NA
Acacia crassa,F,W,NA
Acacia crassicarpa,F,W,Yes
Acacia crassifolia,F,NA,NA
Acacia crassistipula,F,NA,NA
Acacia crassiuscula,F,NA,NA
Acacia crassuloides,F,NA,NA
Acacia creatacea,F,NA,NA
Acacia cremiflora,F,NA,NA
Acacia crenulata,F,NA,NA
Acacia cretata,F,W,NA
Acacia crispula,F,NA,NA
Acacia crombiei,F,NA,NA
Acacia cultriformis,F,W,Yes
Acacia cummingiana,F,NA,NA
Acacia cuneifolia,F,NA,NA
Acacia cupularis,F,NA,NA
Acacia curranii,F,NA,NA
Acacia curvata,F,NA,NA
Acacia curvinervia,F,NA,NA
Acacia cuspidifolia,F,W,NA
Acacia cuthbertsonii,F,W,Yes
Acacia cyclops,F,W,Yes
Acacia cylindrica,F,NA,NA
Acacia cyperophylla,F,W,Yes
Acacia dacrydioides,F,NA,NA
Acacia dallachiana,F,NA,NA
Acacia dangarensis,F,NA,Yes
Acacia daviesioides,F,NA,NA
Acacia davyi,F,W,Yes
Acacia daweana,F,NA,NA
Acacia dawsonii,F,W,NA
Acacia dealbata,F,W,Yes
Acacia deanei,F,W,Yes
Acacia debilis,F,W,NA
Acacia declinata,F,NA,NA
Acacia decora,F,W,Yes
Acacia decurrens,F,W,Yes
Acacia deficiens,F,NA,NA
Acacia deflexa,F,NA,NA
Acacia delavayi,C,NA,NA
Acacia delibrata,F,W,NA
Acacia delicatula,F,NA,NA
Acacia delphina,F,NA,NA
Acacia deltoidea,F,NA,NA
Acacia demissa,F,W,NA
Acacia dempsteri,F,W,NA
Acacia densiflora,F,NA,NA
Acacia denticulosa,F,NA,NA
Acacia dentifera,F,NA,NA
Acacia depressa,F,NA,NA
Acacia dermatophylla,F,NA,NA
Acacia desertorum,F,W,NA
Acacia desmondii,F,W,NA
Acacia deuteroneura,F,NA,NA
Acacia diaphana,F,NA,NA
Acacia diaphyllodinea,F,NA,NA
Acacia dictyoneura,F,NA,NA
Acacia dictyophleba,F,W,Yes
Acacia didyma,F,W,NA
Acacia dielsii,F,NA,NA
Acacia dietrichiana,F,W,NA
Acacia difficilis,F,W,Yes
Acacia difformis,F,W,NA
Acacia dilatata,F,NA,NA
Acacia dimidiata,F,W,Yes
Acacia diminuta,F,NA,NA
Acacia dissona,F,NA,NA
Acacia distans,F,NA,NA
Acacia disticha,F,NA,NA
Acacia ditricha,F,W,NA
Acacia divergens,F,NA,NA
Acacia dodonaeifolia,F,W,NA
Acacia dolichophylla,F,NA,NA
Acacia dolichostachya,F,NA,Yes
Acacia donaldsonii,F,W,NA
Acacia doratoxylon,F,W,Yes
Acacia dorothea,F,NA,NA
Acacia dorsenna,F,NA,NA
Acacia drepanocarpa,F,NA,NA
Acacia drepanolobium,F,NA,NA
Acacia drepanophylla,F,NA,NA
Acacia drewiana,F,NA,NA
Acacia drummondii,F,NA,Yes
Acacia dudgeoni,F,NA,Yes
Acacia dunnii,F,W,Yes
Acacia dura,F,NA,NA
Acacia durabilis,F,NA,NA
Acacia duriuscula,F,W,NA
Acacia dyeri,F,NA,NA
Acacia eburnea,F,NA,NA
Acacia ebutsiniorum,F,NA,NA
Acacia echinula,F,NA,NA
Acacia echinuliflora,F,W,NA
Acacia edgeworthii,F,NA,NA
Acacia effusa,F,NA,NA
Acacia ehrenbergiana,F,NA,Yes
Acacia elachantha,F,NA,NA
Acacia elata,F,W,Yes
Acacia elatior,F,NA,Yes
Acacia elongata,F,NA,Yes
Acacia elsherana,F,NA,NA
Acacia empelioclada,F,NA,NA
Acacia enervia,F,NA,NA
Acacia ensifolia,F,NA,NA
Acacia enterocarpa,F,NA,NA
Acacia epacantha,F,NA,NA
Acacia epedunculata,F,NA,NA
Acacia ephedroides,F,W,NA
Acacia eremaea,F,W,Yes
Acacia eremophila,F,NA,NA
Acacia eremophiloides,F,NA,NA
Acacia ericifolia,F,NA,Yes
Acacia ericksoniae,F,NA,NA
Acacia erinacea,F,NA,Yes
Acacia erioclada,F,NA,NA
Acacia erioloba,F,W,NA
Acacia eriopoda,F,W,NA
Acacia errabunda,F,NA,NA
Acacia erubescens,F,W,Yes
Acacia erythrocalyx,C,NA,NA
Acacia estrophiolata,F,W,Yes
Acacia etbaica,F,NA,Yes
Acacia euthyphylla,F,NA,NA
Acacia evenulosa,F,NA,NA
Acacia everistii,F,NA,NA
Acacia excelsa,F,W,No
Acacia excentrica,F,NA,NA
Acacia exilis,F,W,NA
Acacia exocarpoides,F,NA,NA
Acacia extensa,F,NA,Yes
Acacia exuvialis,F,W,Yes
Acacia fagonioides,F,NA,NA
Acacia falcata,F,W,Yes
Acacia falciformis,F,W,Yes
Acacia farinosa,F,NA,NA
Acacia farnesiana,F,W,Yes
Acacia fasciculifera,F,W,NA
Acacia fauntleroyi,F,W,NA
Acacia ferocior,F,NA,NA
Acacia ferruginea,F,W,NA
Acacia filamentosa,F,NA,NA
Acacia filicifolia,F,W,Yes
Acacia filifolia,F,NA,Yes
Acacia filipes,F,NA,NA
Acacia fimbriata,F,W,Yes
Acacia flabellifolia,F,NA,NA
Acacia flagelliformis,F,NA,NA
Acacia flavescens,F,NA,NA
Acacia flavipila,F,NA,NA
Acacia fleckeri,F,NA,NA
Acacia fleckii,F,NA,Yes
Acacia flexifolia,F,NA,Yes
Acacia flocktoniae,F,NA,NA
Acacia floribunda,F,W,Yes
Acacia floydii,F,W,NA
Acacia formidabilis,F,NA,NA
Acacia forrestiana,F,NA,NA
Acacia forsythii,F,NA,NA
Acacia fragilis,F,NA,NA
Acacia frigescens,F,W,NA
Acacia froggattii,F,NA,NA
Acacia fulva,F,W,Yes
Acacia gageana,F,NA,NA
Acacia galeata,F,W,NA
Acacia galioides,F,NA,NA
Acacia galpinii,F,W,Yes
Acacia gardneri,F,W,NA
Acacia gaumeri,F,W,Yes
Acacia gelasina,F,NA,NA
Acacia gemina,F,NA,NA
Acacia genistifolia,F,W,Yes
Acacia gentlei,F,NA,NA
Acacia georgensis,F,W,NA
Acacia georginae,F,W,Yes
Acacia gerrardii,F,W,Yes
Acacia gibbosa,F,W,NA
Acacia gilbertii,F,NA,NA
Acacia gilesiana,F,NA,NA
Acacia gillii,F,W,NA
Acacia gittinsii,F,NA,Yes
Acacia gladiiformis,F,NA,Yes
Acacia glandulicarpa,F,NA,NA
Acacia glauca,F,NA,NA
Acacia glaucissima,F,NA,NA
Acacia glaucocaesia,F,W,NA
Acacia glaucocarpa,F,W,Yes
Acacia glaucoptera,F,W,Yes
Acacia gloeotricha,F,NA,NA
Acacia glutinosissima,F,NA,NA
Acacia gnidium,F,NA,NA
Acacia goetzei,F,W,Yes
Acacia gonocarpa,F,NA,Yes
Acacia gonoclada,F,W,NA
Acacia gonophylla,F,NA,NA
Acacia gordonii,F,NA,NA
Acacia gourmaensis,F,NA,Yes
Acacia gracilenta,F,NA,NA
Acacia gracilifolia,F,NA,NA
Acacia gracillima,F,W,NA
Acacia grahamii,C,NA,NA
Acacia grandicornuta,F,W,Yes
Acacia grandifolia,F,NA,NA
Acacia grandistipula,C,NA,NA
Acacia granitica,F,NA,Yes
Acacia graniticola,F,NA,NA
Acacia grasbyi,F,W,NA
Acacia greggii,F,W,No
Acacia gregorii,F,NA,NA
Acacia grisea,F,NA,NA
Acacia gummifera,F,NA,Yes
Acacia gunnii,F,NA,NA
Acacia guymeri,F,NA,NA
Acacia hadrophylla,F,NA,NA
Acacia haematoxylon,F,W,Yes
Acacia hakeoides,F,W,Yes
Acacia halliana,F,NA,NA
Acacia hamersleyensis,F,NA,NA
Acacia hamiltoniana,F,NA,NA
Acacia hammondii,F,W,NA
Acacia hamulosa,F,NA,NA
Acacia handonis,F,NA,NA
Acacia harpophylla,F,W,Yes
Acacia harveyi,F,NA,Yes
Acacia hastulata,F,NA,Yes
Acacia havilandiorum,F,W,Yes
Acacia hayesii,C,W,NA
Acacia hebeclada,F,W,Yes
Acacia helicophylla,F,NA,NA
Acacia helmsiana,F,NA,NA
Acacia hemignosta,F,W,NA
Acacia hemiteles,F,NA,NA
Acacia hemsleyi,F,W,Yes
Acacia hendersonii,F,NA,NA
Acacia hereroensis,F,W,Yes
Acacia heterochroa,F,NA,NA
Acacia heteroclita,F,W,NA
Acacia heteroneura,F,NA,NA
Acacia heterophylla,F,NA,Yes
Acacia hexaneura,F,NA,NA
Acacia hildebrandtii,C,NA,NA
Acacia hilliana,F,NA,Yes
Acacia hindsii,F,W,NA
Acacia hippuroides,F,NA,Yes
Acacia hispidula,F,NA,NA
Acacia hockingsii,F,NA,NA
Acacia hohenackeri,C,NA,NA
Acacia holosericea,F,W,Yes
Acacia holotricha,F,W,NA
Acacia homaloclada,F,NA,NA
Acacia homalophylla,F,W,Yes
Acacia horrida,F,NA,Yes
Acacia horridula,F,NA,Yes
Acacia howittii,F,W,NA
Acacia hubbardiana,F,NA,NA
Acacia huberi,C,NA,NA
Acacia huegelii,F,W,Yes
Acacia humifusa,F,NA,NA
Acacia hyaloneura,F,W,NA
Acacia hydaspica,F,NA,NA
Acacia hylonoma,F,NA,NA
Acacia hypermeces,F,NA,NA
Acacia hystrix,F,NA,NA
Acacia idiomorpha,F,NA,NA
Acacia imbricata,F,NA,NA
Acacia imitans,F,NA,NA
Acacia imparilis,F,NA,NA
Acacia implexa,F,W,Yes
Acacia improcera,F,NA,NA
Acacia inaequilatera,F,NA,NA
Acacia inaequiloba,F,NA,NA
Acacia inamabilis,F,NA,NA
Acacia incanicarpa,F,NA,NA
Acacia inceana,F,NA,NA
Acacia incongesta,F,NA,NA
Acacia incrassata,F,NA,NA
Acacia incurva,F,NA,NA
Acacia infecunda,F,NA,NA
Acacia ingramii,F,NA,NA
Acacia ingrata,F,NA,NA
Acacia inophyloia,F,NA,NA
Acacia inops,F,NA,NA
Acacia insolita,F,NA,NA
Acacia intorta,F,W,NA
Acacia intricata,F,NA,NA
Acacia intsia,C,NA,Yes
Acacia irrorata,F,W,Yes
Acacia islana,F,NA,NA
Acacia isoneura,F,NA,NA
Acacia iteaphylla,F,NA,Yes
Acacia ixiophylla,F,NA,Yes
Acacia ixodes,F,W,NA
Acacia jackesiana,F,NA,NA
Acacia jacksonioides,F,NA,NA
Acacia jacquemontii,F,NA,Yes
Acacia jamesiana,F,W,NA
Acacia jasperensis,F,NA,NA
Acacia jennerae,F,W,NA
Acacia jensenii,F,W,NA
Acacia jibberdingensis,F,W,NA
Acacia johannis,F,NA,NA
Acacia johnsonii,F,NA,NA
Acacia johnwoodii,F,NA,NA
Acacia jonesii,F,NA,Yes
Acacia jucunda,F,W,NA
Acacia julifera,F,W,Yes
Acacia juncifolia,F,NA,Yes
Acacia kalgoorliensis,F,NA,NA
Acacia kamerunensis,C,NA,NA
Acacia karroo,F,W,Yes
Acacia kelleri,F,W,NA
Acacia kempeana,F,W,Yes
Acacia kenneallyi,F,W,NA
Acacia kerryana,F,NA,NA
Acacia kettlewelliae,F,W,NA
Acacia kimberleyensis,F,NA,NA
Acacia kingiana,F,NA,NA
Acacia kirkii,F,NA,Yes
Acacia klugii,C,NA,NA
Acacia koa,F,W,Yes
Acacia koaia,F,NA,Yes
Acacia kochii,F,NA,NA
Acacia kosiensis,F,NA,NA
Acacia kraussiana,C,NA,Yes
Acacia kuhlmannii,C,NA,NA
Acacia kulnurensis,F,NA,NA
Acacia kybeanensis,F,NA,NA
Acacia kydrensis,F,NA,NA
Acacia laccata,F,W,NA
Acacia lacerans,C,NA,NA
Acacia lacertensis,F,NA,NA
Acacia lachnophylla,F,NA,Yes
Acacia laeta,F,NA,NA
Acacia lahai,F,NA,NA
Acacia lanceolata,F,NA,NA
Acacia lanei,F,NA,NA
Acacia lanigera,F,NA,NA
Acacia lanuginophylla,F,NA,NA
Acacia laricina,F,NA,NA
Acacia lasiocalyx,F,W,NA
Acacia lasiocarpa,F,NA,NA
Acacia lasiopetala,F,NA,NA
Acacia latescens,F,W,Yes
Acacia latifolia,F,W,Yes
Acacia latipes,F,NA,NA
Acacia latisepala,F,NA,NA
Acacia latzii,F,W,NA
Acacia lazaridis,F,NA,NA
Acacia legnota,F,W,NA
Acacia leichhardtii,F,NA,NA
Acacia leiocalyx,F,W,Yes
Acacia leioderma,F,NA,NA
Acacia leiophylla,F,W,NA
