sp,support,woodiness,nfixing
Aa achalensis,F,NA,NA
Aa argyrolepis,F,NA,NA
Aa aurantiaca,F,NA,NA
Aa calceata,F,NA,NA
Aa colombiana,F,NA,NA
Aa denticulata,F,NA,NA
Aa erosa,F,NA,NA
Aa fiebrigii,F,NA,NA
Aa hartwegii,F,NA,NA
Aa hieronymi,F,NA,NA
Aa leucantha,F,NA,NA
Aa lorentzii,F,NA,NA
Aa macra,F,NA,NA
Aa maderoi,F,NA,NA
Aa mandonii,F,NA,NA
Aa matthewsii,F,NA,NA
Aa microtidis,F,NA,NA
Aa nervosa,F,NA,NA
Aa paleacea,F,H,NA
Aa riobambae,F,NA,NA
Aa rosei,F,NA,NA
Aa schickendanzii,F,NA,NA
Aa sphaeroglossa,F,NA,NA
Aa trilobulata,F,NA,NA
Aa weddelliana,F,NA,NA
Abarema adenophora,F,W,Yes
Abarema barbouriana,F,W,Yes
Abarema cochliocarpos,F,NA,Yes
Abarema curvicarpa,F,W,NA
Abarema gallorum,F,NA,NA
Abarema jupunba,F,W,Yes
Abarema laeta,F,NA,NA
Abarema macradenia,F,W,Yes
Abarema mataybifolia,F,W,Yes
Abarema piresii,F,NA,Yes
Abarema racemiflora,F,NA,NA
Abatia americana,F,W,NA
Abatia angeliana,F,NA,NA
Abatia canescens,F,W,NA
Abatia mexicana,F,W,NA
Abatia rugosa,F,W,NA
Abatia spicata,F,W,NA
Abatia stellata,F,W,NA
Abelia triflora,F,W,NA
Abelmoschus angulosus,F,NA,NA
Abelmoschus crinitus,F,NA,NA
Abelmoschus esculentus,F,H,No
Abelmoschus ficulneus,F,W,NA
Abelmoschus manihot,F,H,NA
Abelmoschus moschatus,F,H,NA
Abies alba,F,W,NA
Abies amabilis,F,W,NA
Abies balsamea,F,W,NA
Abies beshanzuensis,F,NA,NA
Abies borisii-regis,F,W,NA
Abies bracteata,F,W,NA
Abies cephalonica,F,W,NA
Abies chensiensis,F,W,NA
Abies cilicica,F,W,NA
Abies concolor,F,W,NA
Abies delavayi,F,W,NA
Abies densa,F,W,NA
Abies durangensis,F,W,NA
Abies fabri,F,W,NA
Abies fanjingshanensis,F,NA,NA
Abies fargesii,F,W,NA
Abies firma,F,W,NA
Abies forrestii,F,W,NA
Abies fraseri,F,W,NA
Abies grandis,F,W,NA
Abies guatemalensis,F,W,NA
Abies holophylla,F,W,NA
Abies homolepis,F,W,NA
Abies kawakamii,F,W,NA
Abies koreana,F,W,NA
Abies lasiocarpa,F,W,NA
Abies magnifica,F,W,NA
Abies mariesii,F,W,NA
Abies nebrodensis,F,W,NA
Abies nephrolepis,F,W,NA
Abies nordmanniana,F,W,NA
Abies numidica,F,W,NA
Abies pindrow,F,W,NA
Abies pinsapo,F,W,NA
Abies procera,F,W,NA
Abies recurvata,F,W,NA
Abies religiosa,F,W,NA
Abies sachalinensis,F,W,NA
Abies sibirica,F,W,NA
Abies spectabilis,F,W,NA
Abies squamata,F,W,NA
Abies veitchii,F,W,NA
Abies vejarii,F,W,NA
Abies yuanbaoshanensis,F,NA,NA
Abobra tenuifolia,C,H,NA
Abolboda americana,F,NA,NA
Abolboda poarchon,F,H,NA
Abolboda pulchella,F,NA,NA
Abrahamia buxifolia,F,NA,NA
Abrahamia deflexa,F,W,NA
Abrahamia ditimena,F,NA,NA
Abrahamia grandidieri,F,NA,NA
Abrahamia humbertii,F,NA,NA
Abrahamia ibityensis,F,NA,NA
Abrahamia latifolia,F,NA,NA
Abrahamia lecomtei,F,NA,NA
Abrahamia louvelii,F,NA,NA
Abrahamia nitida,F,NA,NA
Abrahamia oblongifolia,F,NA,NA
Abrahamia pauciflora,F,NA,NA
Abrahamia sericea,F,NA,NA
Abrahamia thouvenotii,F,NA,NA
Abrahamia viguieri,F,NA,NA
Abrodictyum angustimarginatum,E,NA,NA
Abrodictyum clathratum,F,NA,NA
Abrodictyum meifolium,E,NA,NA
Abrodictyum rigidum,E,NA,NA
Abronia umbellata,C,NA,NA
Abrotanella nivigena,F,NA,NA
Abrus aureus,C,NA,NA
Abrus canescens,C,NA,NA
Abrus diversifoliolatus,C,NA,NA
Abrus fruticulosus,C,NA,Yes
Abrus laevigatus,C,NA,NA
Abrus madagascariensis,C,NA,NA
Abrus parvifolius,C,NA,NA
Abrus precatorius,C,W,Yes
Abrus pulchellus,C,NA,NA
Abrus sambiranensis,C,NA,NA
Absolmsia spartioides,E,NA,NA
Abuta antioquiana,C,NA,NA
Abuta aristeguietae,C,NA,NA
Abuta barbata,C,NA,NA
Abuta brevifolia,C,NA,NA
Abuta bullata,C,NA,NA
Abuta candollei,C,NA,NA
Abuta colombiana,C,NA,NA
Abuta fluminum,C,NA,NA
Abuta grandiflora,C,NA,NA
Abuta grandifolia,C,W,No
Abuta grisebachii,C,W,NA
Abuta imene,C,W,NA
Abuta mycetandra,C,NA,NA
Abuta obovata,C,NA,NA
Abuta pahni,C,W,NA
Abuta panamensis,C,W,NA
Abuta panurensis,C,W,NA
Abuta racemosa,C,W,NA
Abuta rufescens,C,W,No
Abuta sandwithiana,C,W,NA
Abuta selloana,C,NA,NA
Abuta solimoesensis,C,W,NA
Abuta soukupii,C,NA,NA
Abuta velutina,C,NA,NA
Abutilon alii,F,NA,NA
Abutilon angulatum,F,W,NA
Abutilon austroafricanum,F,NA,NA
Abutilon bidentatum,F,NA,NA
Abutilon cryptopetalum,F,W,NA
Abutilon dinteri,F,NA,NA
Abutilon englerianum,F,NA,NA
Abutilon flanaganii,F,NA,NA
Abutilon fraseri,F,W,NA
Abutilon fruticosum,F,W,NA
Abutilon galpinii,F,NA,NA
Abutilon ghafoorianum,F,NA,NA
Abutilon grandifolium,F,NA,NA
Abutilon grantii,F,NA,NA
Abutilon greveanum,F,NA,NA
Abutilon halophilum,F,NA,NA
Abutilon hirtum,F,NA,NA
Abutilon indicum,F,H,NA
Abutilon karachianum,F,NA,NA
Abutilon lauraster,F,NA,NA
Abutilon leucopetalum,F,NA,NA
Abutilon macrum,F,NA,NA
Abutilon malvaefolium,F,NA,NA
Abutilon mauritianum,F,NA,NA
Abutilon neelgherrense,F,NA,NA
Abutilon otocarpum,F,W,NA
Abutilon oxycarpum,F,NA,NA
Abutilon pakistanicum,F,NA,NA
Abutilon pannosum,F,W,NA
Abutilon persicum,F,NA,NA
Abutilon peruvianum,F,NA,NA
Abutilon pictum,F,NA,NA
Abutilon pilosocinereum,F,NA,NA
Abutilon pseudocleistogamum,F,NA,NA
Abutilon pycnodon,F,NA,NA
Abutilon ramosum,F,NA,NA
Abutilon rehmannii,F,NA,NA
Abutilon sepalum,F,NA,NA
Abutilon sonneratianum,F,NA,NA
Abutilon theophrasti,F,H,No
Abutilon tubulosum,F,NA,NA
Acacia abbreviata,F,NA,NA
Acacia abrupta,F,NA,NA
Acacia abyssinica,F,NA,Yes
Acacia acanthaster,F,NA,NA
Acacia acanthoclada,F,NA,NA
Acacia acellerata,F,NA,NA
Acacia acinacea,F,NA,Yes
Acacia aciphylla,F,NA,NA
Acacia acoma,F,NA,NA
Acacia acradenia,F,W,Yes
Acacia acrionastes,F,NA,NA
Acacia acuaria,F,NA,NA
Acacia acuifera,F,NA,NA
Acacia aculeatissima,F,NA,NA
Acacia aculeiformis,F,NA,NA
Acacia acuminata,F,W,Yes
Acacia acutata,F,NA,NA
Acacia adenocalyx,C,W,No
Acacia adenogonia,F,NA,NA
Acacia adhaerens,C,NA,NA
Acacia adinophylla,F,NA,NA
Acacia adnata,F,NA,NA
Acacia adoxa,F,W,NA
Acacia adsurgens,F,W,Yes
Acacia adunca,F,W,Yes
Acacia aemula,F,NA,NA
Acacia aestivalis,F,W,NA
Acacia alata,F,NA,Yes
Acacia alaticaulis,F,NA,NA
Acacia albicorticata,F,W,NA
Acacia albizioides,C,NA,NA
Acacia alcockii,F,NA,NA
Acacia alemquerensis,C,NA,NA
Acacia alexandri,F,NA,NA
Acacia alleniana,F,W,Yes
Acacia allenii,F,NA,NA
Acacia alpina,F,NA,Yes
Acacia altiscandens,C,W,NA
Acacia amabilis,F,NA,NA
Acacia amanda,F,NA,NA
Acacia amazonica,C,NA,NA
Acacia amblygona,F,NA,NA
Acacia amblyophylla,F,W,NA
Acacia amentifera,F,NA,NA
Acacia ammobia,F,W,NA
Acacia ammophila,F,NA,NA
Acacia amoena,F,NA,Yes
Acacia ampliata,F,W,NA
Acacia ampliceps,F,W,Yes
Acacia amputata,F,NA,NA
Acacia amyctica,F,NA,NA
Acacia amythethophylla,F,W,Yes
Acacia anarthos,F,NA,NA
Acacia anasilla,F,NA,NA
Acacia anastema,F,NA,NA
Acacia anaticeps,F,NA,NA
Acacia anceps,F,NA,Yes
Acacia ancistrocarpa,F,W,Yes
Acacia ancistrophylla,F,NA,NA
Acacia andrewsii,F,NA,NA
Acacia anegadensis,F,NA,NA
Acacia aneura,F,W,Yes
Acacia anfractuosa,F,W,NA
Acacia angusta,F,W,NA
Acacia angustissima,F,W,Yes
Acacia anomala,F,NA,NA
Acacia anthochaera,F,W,NA
Acacia aphanoclada,F,NA,NA
Acacia aphylla,F,NA,NA
Acacia applanata,F,NA,NA
Acacia aprepta,F,NA,NA
Acacia aprica,F,NA,NA
Acacia arafurica,F,W,NA
Acacia araneosa,F,NA,NA
Acacia arbiana,F,NA,NA
Acacia arcuatilis,F,NA,NA
Acacia arenaria,F,NA,Yes
Acacia argutifolia,F,NA,NA
Acacia argyraea,F,W,NA
Acacia argyrodendron,F,NA,Yes
Acacia argyrophylla,F,NA,NA
Acacia argyrotricha,F,NA,NA
Acacia arida,F,NA,NA
Acacia aristulata,F,NA,NA
Acacia armillata,F,NA,NA
Acacia armitii,F,W,NA
Acacia aroma,F,W,Yes
Acacia arrecta,F,W,NA
Acacia articulata,C,NA,NA
Acacia ascendens,F,NA,NA
Acacia asepala,F,NA,NA
Acacia ashbyae,F,NA,NA
Acacia asparagoides,F,NA,NA
Acacia aspera,F,NA,Yes
Acacia asperulacea,F,NA,NA
Acacia assimilis,F,W,NA
Acacia ataxacantha,C,W,No
Acacia ataxiphylla,F,NA,NA
Acacia atkinsiana,F,W,NA
Acacia atopa,F,NA,NA
Acacia attenuata,F,NA,NA
Acacia aulacocarpa,F,W,Yes
Acacia aulacophylla,F,NA,NA
Acacia auratiflora,F,NA,NA
Acacia aureocrinita,F,NA,NA
Acacia auricoma,F,NA,NA
Acacia auriculiformis,F,W,Yes
Acacia auripila,F,NA,NA
Acacia auronitens,F,NA,NA
Acacia ausfeldii,F,W,NA
Acacia awestoniana,F,NA,NA
Acacia axillaris,F,NA,NA
Acacia ayersiana,F,NA,NA
Acacia baeuerlenii,F,NA,NA
Acacia baileyana,F,W,Yes
Acacia bakeri,F,W,NA
Acacia balsamea,F,NA,NA
Acacia bancroftiorum,F,W,NA
Acacia barakulensis,F,NA,NA
Acacia barattensis,F,NA,NA
Acacia barbinervis,F,NA,NA
Acacia baronii,C,NA,NA
Acacia barringtonensis,F,NA,NA
Acacia basedowii,F,NA,NA
Acacia baueri,F,NA,NA
Acacia baxteri,F,NA,NA
Acacia beadleana,F,NA,NA
Acacia beauverdiana,F,NA,NA
Acacia beckleri,F,NA,NA
Acacia bellula,F,NA,NA
Acacia benthamii,F,NA,Yes
Acacia betchei,F,NA,NA
Acacia bidentata,F,NA,Yes
Acacia bidwillii,F,W,NA
Acacia bifaria,F,NA,NA
Acacia biflora,F,NA,Yes
Acacia binata,F,NA,NA
Acacia binervata,F,W,Yes
Acacia binervia,F,W,Yes
Acacia bivenosa,F,W,Yes
Acacia blakei,F,NA,Yes
Acacia blakelyi,F,W,Yes
Acacia blaxellii,F,NA,NA
Acacia blayana,F,NA,NA
Acacia boormanii,F,NA,NA
Acacia borleae,F,W,Yes
Acacia botrydion,F,NA,NA
Acacia brachybotrya,F,W,Yes
Acacia brachycarpa,F,NA,NA
Acacia brachyclada,F,NA,NA
Acacia brachyphylla,F,NA,NA
Acacia brachypoda,F,NA,NA
Acacia brachystachya,F,W,Yes
Acacia bracteolata,F,NA,NA
Acacia brassii,F,NA,Yes
Acacia brockii,F,NA,NA
Acacia browniana,F,NA,NA
Acacia brownii,F,NA,Yes
Acacia brumalis,F,W,Yes
Acacia brunioides,F,NA,NA
Acacia bulgaensis,F,W,NA
Acacia burbidgeae,F,NA,NA
Acacia burrowii,F,NA,NA
Acacia bussei,F,NA,NA
Acacia buxifolia,F,NA,Yes
Acacia bynoeana,F,NA,Yes
Acacia caerulescens,F,NA,NA
Acacia caesariata,F,NA,NA
Acacia caesia,C,NA,Yes
Acacia caesiella,F,W,NA
Acacia caffra,F,W,Yes
Acacia calamifolia,F,NA,Yes
Acacia calantha,F,NA,NA
Acacia calcarata,F,NA,NA
Acacia calcicola,F,W,NA
Acacia caleyi,F,NA,NA
Acacia calyculata,F,NA,NA
Acacia cambagei,F,W,Yes
Acacia camptoclada,F,NA,NA
Acacia campylophylla,F,NA,NA
Acacia cana,F,W,Yes
Acacia canescens,C,NA,NA
Acacia cangaiensis,F,W,Yes
Acacia capillaris,F,NA,NA
Acacia cardiophylla,F,W,Yes
Acacia carens,F,NA,NA
Acacia carneorum,F,W,NA
Acacia carnosula,F,NA,NA
Acacia caroleae,F,W,NA
Acacia cassicula,F,NA,NA
Acacia castanostegia,F,NA,NA
Acacia cataractae,F,NA,NA
Acacia catechu,F,W,Yes
Acacia catenulata,F,NA,Yes
Acacia cavealis,F,NA,NA
Acacia cedroides,F,NA,NA
Acacia celastrifolia,F,W,Yes
Acacia cerastes,F,NA,NA
Acacia chalkeri,F,NA,NA
Acacia chamaeleon,F,NA,NA
Acacia chapmanii,F,NA,NA
Acacia chartacea,F,W,NA
Acacia cheelii,F,NA,NA
Acacia chinchillensis,F,NA,NA
Acacia chippendalei,F,NA,NA
Acacia chisholmii,F,W,NA
Acacia choriophylla,F,NA,NA
Acacia chrysella,F,NA,NA
Acacia chrysocephala,F,NA,NA
Acacia chrysochaeta,F,NA,NA
Acacia chrysopoda,F,NA,NA
Acacia chrysotricha,F,NA,Yes
Acacia chundra,F,W,Yes
Acacia cincinnata,F,W,Yes
Acacia citrinoviridis,F,W,Yes
Acacia citriodora,F,NA,NA
Acacia clandullensis,F,NA,NA
Acacia clelandii,F,NA,NA
Acacia clunies-rossiae,F,W,NA
Acacia clydonophora,F,NA,NA
Acacia cochlearis,F,NA,NA
Acacia cochliacantha,F,W,Yes
Acacia cochlocarpa,F,NA,NA
Acacia cognata,F,W,Yes
Acacia colei,F,W,Yes
Acacia colletioides,F,W,Yes
Acacia collinsii,F,W,Yes
Acacia comans,F,NA,NA
Acacia compacta,F,NA,NA
Acacia complanata,F,W,Yes
Acacia concinna,C,NA,NA
Acacia concolorans,F,NA,NA
Acacia concurrens,F,W,Yes
Acacia conferta,F,W,NA
Acacia confluens,F,NA,NA
Acacia confusa,F,W,Yes
Acacia congesta,F,NA,NA
