sp,support,plant.list.accepted
Aa achalensis,F,TRUE
Aa argyrolepis,F,TRUE
Aa aurantiaca,F,TRUE
Aa calceata,F,TRUE
Aa colombiana,F,TRUE
Aa denticulata,F,TRUE
Aa erosa,F,TRUE
Aa fiebrigii,F,TRUE
Aa hartwegii,F,TRUE
Aa hieronymi,F,TRUE
Aa leucantha,F,TRUE
Aa lorentzii,F,TRUE
Aa macra,F,TRUE
Aa maderoi,F,TRUE
Aa mandonii,F,TRUE
Aa matthewsii,F,TRUE
Aa microtidis,F,TRUE
Aa nervosa,F,TRUE
Aa paleacea,F,TRUE
Aa riobambae,F,TRUE
Aa rosei,F,TRUE
Aa schickendanzii,F,TRUE
Aa sphaeroglossa,F,TRUE
Aa trilobulata,F,TRUE
Aa weddelliana,F,TRUE
Abarema adenophora,F,TRUE
Abarema barbouriana,F,TRUE
Abarema cochliocarpos,F,TRUE
Abarema curvicarpa,F,TRUE
Abarema gallorum,F,TRUE
Abarema jupunba,F,TRUE
Abarema laeta,F,TRUE
Abarema macradenia,F,TRUE
Abarema mataybifolia,F,TRUE
Abarema piresii,F,TRUE
Abarema racemiflora,F,TRUE
Abatia americana,F,TRUE
Abatia angeliana,F,TRUE
Abatia canescens,F,TRUE
Abatia mexicana,F,TRUE
Abatia rugosa,F,TRUE
Abatia spicata,F,TRUE
Abatia stellata,F,TRUE
Abelia triflora,F,TRUE
Abelmoschus angulosus,F,TRUE
Abelmoschus crinitus,F,TRUE
Abelmoschus esculentus,F,TRUE
Abelmoschus ficulneus,F,TRUE
Abelmoschus manihot,F,TRUE
Abelmoschus moschatus,F,TRUE
Abies alba,F,TRUE
Abies amabilis,F,TRUE
Abies balsamea,F,TRUE
Abies beshanzuensis,F,TRUE
Abies borisii-regis,F,TRUE
Abies bracteata,F,TRUE
Abies cephalonica,F,TRUE
Abies chensiensis,F,TRUE
Abies cilicica,F,TRUE
Abies concolor,F,TRUE
Abies delavayi,F,TRUE
Abies densa,F,TRUE
Abies durangensis,F,TRUE
Abies fabri,F,TRUE
Abies fanjingshanensis,F,TRUE
