sp,support,plant.list.accepted
Abies fargesii,F,TRUE
Abies firma,F,TRUE
Abies forrestii,F,TRUE
Abies fraseri,F,TRUE
Abies grandis,F,TRUE
Abies guatemalensis,F,TRUE
Abies holophylla,F,TRUE
Abies homolepis,F,TRUE
Abies kawakamii,F,TRUE
Abies koreana,F,TRUE
Abies lasiocarpa,F,TRUE
Abies magnifica,F,TRUE
Abies mariesii,F,TRUE
Abies nebrodensis,F,TRUE
Abies nephrolepis,F,TRUE
Abies nordmanniana,F,TRUE
Abies numidica,F,TRUE
Abies pindrow,F,TRUE
Abies pinsapo,F,TRUE
Abies procera,F,TRUE
Abies recurvata,F,TRUE
Abies religiosa,F,TRUE
Abies sachalinensis,F,TRUE
Abies sibirica,F,TRUE
Abies spectabilis,F,TRUE
Abies squamata,F,TRUE
Abies veitchii,F,TRUE
Abies vejarii,F,TRUE
Abies yuanbaoshanensis,F,TRUE
Abobra tenuifolia,C,TRUE
Abolboda americana,F,TRUE
Abolboda poarchon,F,TRUE
Abolboda pulchella,F,TRUE
Abrahamia buxifolia,F,TRUE
Abrahamia deflexa,F,TRUE
Abrahamia ditimena,F,TRUE
Abrahamia grandidieri,F,TRUE
Abrahamia humbertii,F,TRUE
Abrahamia ibityensis,F,TRUE
Abrahamia latifolia,F,TRUE
Abrahamia lecomtei,F,TRUE
Abrahamia louvelii,F,TRUE
Abrahamia nitida,F,TRUE
Abrahamia oblongifolia,F,TRUE
Abrahamia pauciflora,F,TRUE
Abrahamia sericea,F,TRUE
Abrahamia thouvenotii,F,TRUE
Abrahamia viguieri,F,TRUE
Abrodictyum angustimarginatum,E,TRUE
Abrodictyum clathratum,F,FALSE
Abrodictyum meifolium,E,TRUE
Abrodictyum rigidum,E,TRUE
Abronia umbellata,C,TRUE
Abrotanella nivigena,F,TRUE
Abrus aureus,C,TRUE
Abrus canescens,C,TRUE
Abrus diversifoliolatus,C,TRUE
Abrus fruticulosus,C,TRUE
Abrus laevigatus,C,TRUE
Abrus madagascariensis,C,TRUE
Abrus parvifolius,C,TRUE
Abrus precatorius,C,TRUE
Abrus pulchellus,C,TRUE
Abrus sambiranensis,C,TRUE
Absolmsia spartioides,E,TRUE
Abuta antioquiana,C,TRUE
Abuta aristeguietae,C,TRUE
Abuta barbata,C,TRUE
Abuta brevifolia,C,TRUE
Abuta bullata,C,TRUE
Abuta candollei,C,TRUE
Abuta colombiana,C,TRUE
Abuta fluminum,C,TRUE
Abuta grandiflora,C,FALSE
Abuta grandifolia,C,TRUE
Abuta grisebachii,C,TRUE
Abuta imene,C,TRUE
Abuta mycetandra,C,TRUE
Abuta obovata,C,TRUE
Abuta pahni,C,TRUE
Abuta panamensis,C,TRUE
Abuta panurensis,C,TRUE
Abuta racemosa,C,TRUE
Abuta rufescens,C,TRUE
Abuta sandwithiana,C,TRUE
Abuta selloana,C,TRUE
Abuta solimoesensis,C,TRUE
Abuta soukupii,C,TRUE
Abuta velutina,C,TRUE
Abutilon alii,F,TRUE
Abutilon angulatum,F,TRUE
Abutilon austroafricanum,F,TRUE
Abutilon bidentatum,F,TRUE
Abutilon cryptopetalum,F,TRUE
Abutilon dinteri,F,TRUE
Abutilon englerianum,F,TRUE
Abutilon flanaganii,F,TRUE
Abutilon fraseri,F,TRUE
Abutilon fruticosum,F,TRUE
Abutilon galpinii,F,TRUE
Abutilon ghafoorianum,F,TRUE
Abutilon grandifolium,F,TRUE
Abutilon grantii,F,TRUE
Abutilon greveanum,F,TRUE
Abutilon halophilum,F,TRUE
Abutilon hirtum,F,TRUE
Abutilon indicum,F,TRUE
Abutilon karachianum,F,TRUE
Abutilon lauraster,F,TRUE
Abutilon leucopetalum,F,TRUE
Abutilon macrum,F,TRUE
Abutilon malvaefolium,F,FALSE
Abutilon mauritianum,F,TRUE
Abutilon neelgherrense,F,TRUE
Abutilon otocarpum,F,TRUE
Abutilon oxycarpum,F,TRUE
Abutilon pakistanicum,F,TRUE
Abutilon pannosum,F,TRUE
Abutilon persicum,F,TRUE
Abutilon peruvianum,F,TRUE
Abutilon pictum,F,TRUE
Abutilon pilosocinereum,F,TRUE
Abutilon pseudocleistogamum,F,TRUE
Abutilon pycnodon,F,TRUE
Abutilon ramosum,F,TRUE
Abutilon rehmannii,F,TRUE
Abutilon sepalum,F,TRUE
Abutilon sonneratianum,F,TRUE
Abutilon theophrasti,F,TRUE
Abutilon tubulosum,F,TRUE
Acacia abbreviata,F,TRUE
Acacia abrupta,F,TRUE
Acacia abyssinica,F,TRUE
Acacia acanthaster,F,TRUE
Acacia acanthoclada,F,TRUE
Acacia acellerata,F,TRUE
Acacia acinacea,F,TRUE
Acacia aciphylla,F,TRUE
Acacia acoma,F,TRUE
Acacia acradenia,F,TRUE
Acacia acrionastes,F,TRUE
Acacia acuaria,F,TRUE
Acacia acuifera,F,TRUE
Acacia aculeatissima,F,TRUE
Acacia aculeiformis,F,TRUE
Acacia acuminata,F,TRUE
Acacia acutata,F,TRUE
Acacia adenocalyx,C,TRUE
Acacia adenogonia,F,TRUE
Acacia adhaerens,C,TRUE
Acacia adinophylla,F,TRUE
Acacia adnata,F,TRUE
Acacia adoxa,F,TRUE
Acacia adsurgens,F,TRUE
Acacia adunca,F,TRUE
Acacia aemula,F,TRUE
Acacia aestivalis,F,TRUE
Acacia alata,F,TRUE
Acacia alaticaulis,F,FALSE
Acacia albicorticata,F,TRUE
Acacia albizioides,C,TRUE
Acacia alcockii,F,TRUE
Acacia alemquerensis,C,TRUE
Acacia alexandri,F,TRUE
Acacia alleniana,F,TRUE
Acacia allenii,F,TRUE
Acacia alpina,F,TRUE
Acacia altiscandens,C,TRUE
Acacia amabilis,F,TRUE
Acacia amanda,F,TRUE
Acacia amazonica,C,TRUE
Acacia amblygona,F,TRUE
Acacia amblyophylla,F,TRUE
Acacia amentifera,F,TRUE
Acacia ammobia,F,TRUE
Acacia ammophila,F,TRUE
Acacia amoena,F,TRUE
Acacia ampliata,F,TRUE
Acacia ampliceps,F,TRUE
Acacia amputata,F,TRUE
Acacia amyctica,F,TRUE
Acacia amythethophylla,F,TRUE
Acacia anarthos,F,TRUE
Acacia anasilla,F,TRUE
Acacia anastema,F,TRUE
Acacia anaticeps,F,TRUE
Acacia anceps,F,TRUE
Acacia ancistrocarpa,F,TRUE
Acacia ancistrophylla,F,TRUE
Acacia andrewsii,F,TRUE
Acacia anegadensis,F,TRUE
Acacia aneura,F,TRUE
Acacia anfractuosa,F,TRUE
Acacia angusta,F,TRUE
Acacia angustissima,F,TRUE
Acacia anomala,F,TRUE
Acacia anthochaera,F,TRUE
Acacia aphanoclada,F,TRUE
Acacia aphylla,F,TRUE
Acacia applanata,F,TRUE
Acacia aprepta,F,TRUE
Acacia aprica,F,TRUE
Acacia arafurica,F,TRUE
Acacia araneosa,F,TRUE
Acacia arbiana,F,TRUE
Acacia arcuatilis,F,TRUE
Acacia arenaria,F,TRUE
Acacia argutifolia,F,TRUE
Acacia argyraea,F,TRUE
Acacia argyrodendron,F,TRUE
Acacia argyrophylla,F,TRUE
Acacia argyrotricha,F,TRUE
Acacia arida,F,TRUE
Acacia aristulata,F,TRUE
Acacia armillata,F,TRUE
Acacia armitii,F,TRUE
Acacia aroma,F,TRUE
Acacia arrecta,F,TRUE
Acacia articulata,C,TRUE
Acacia ascendens,F,TRUE
Acacia asepala,F,TRUE
Acacia ashbyae,F,TRUE
Acacia asparagoides,F,TRUE
Acacia aspera,F,TRUE
Acacia asperulacea,F,TRUE
Acacia assimilis,F,TRUE
Acacia ataxacantha,C,TRUE
Acacia ataxiphylla,F,TRUE
Acacia atkinsiana,F,TRUE
Acacia atopa,F,TRUE
Acacia attenuata,F,TRUE
Acacia aulacocarpa,F,TRUE
Acacia aulacophylla,F,TRUE
Acacia auratiflora,F,TRUE
Acacia aureocrinita,F,TRUE
Acacia auricoma,F,TRUE
Acacia auriculiformis,F,TRUE
Acacia auripila,F,TRUE
Acacia auronitens,F,TRUE
Acacia ausfeldii,F,TRUE
Acacia awestoniana,F,TRUE
Acacia axillaris,F,TRUE
Acacia ayersiana,F,TRUE
Acacia baeuerlenii,F,TRUE
Acacia baileyana,F,TRUE
Acacia bakeri,F,TRUE
Acacia balsamea,F,TRUE
Acacia bancroftiorum,F,TRUE
Acacia barakulensis,F,TRUE
Acacia barattensis,F,TRUE
Acacia barbinervis,F,TRUE
Acacia baronii,C,TRUE
Acacia barringtonensis,F,TRUE
Acacia basedowii,F,TRUE
Acacia baueri,F,TRUE
Acacia baxteri,F,TRUE
Acacia beadleana,F,FALSE
Acacia beauverdiana,F,TRUE
Acacia beckleri,F,TRUE
Acacia bellula,F,TRUE
Acacia benthamii,F,TRUE
Acacia betchei,F,TRUE
Acacia bidentata,F,TRUE
Acacia bidwillii,F,TRUE
Acacia bifaria,F,TRUE
Acacia biflora,F,TRUE
Acacia binata,F,TRUE
Acacia binervata,F,TRUE
Acacia binervia,F,TRUE
Acacia bivenosa,F,TRUE
Acacia blakei,F,TRUE
Acacia blakelyi,F,TRUE
Acacia blaxellii,F,TRUE
Acacia blayana,F,TRUE
Acacia boormanii,F,TRUE
Acacia borleae,F,TRUE
Acacia botrydion,F,TRUE
Acacia brachybotrya,F,TRUE
Acacia brachycarpa,F,TRUE
Acacia brachyclada,F,TRUE
Acacia brachyphylla,F,TRUE
Acacia brachypoda,F,TRUE
Acacia brachystachya,F,TRUE
Acacia bracteolata,F,TRUE
Acacia brassii,F,TRUE
Acacia brockii,F,TRUE
Acacia browniana,F,TRUE
Acacia brownii,F,TRUE
Acacia brumalis,F,TRUE
Acacia brunioides,F,TRUE
Acacia bulgaensis,F,TRUE
Acacia burbidgeae,F,TRUE
Acacia burrowii,F,TRUE
Acacia bussei,F,TRUE
Acacia buxifolia,F,TRUE
Acacia bynoeana,F,TRUE
Acacia caerulescens,F,TRUE
Acacia caesariata,F,TRUE
Acacia caesia,C,TRUE
Acacia caesiella,F,TRUE
Acacia caffra,F,TRUE
Acacia calamifolia,F,TRUE
Acacia calantha,F,TRUE
Acacia calcarata,F,TRUE
Acacia calcicola,F,TRUE
Acacia caleyi,F,TRUE
Acacia calyculata,F,TRUE
Acacia cambagei,F,TRUE
Acacia camptoclada,F,TRUE
Acacia campylophylla,F,TRUE
Acacia cana,F,TRUE
Acacia canescens,C,TRUE
Acacia cangaiensis,F,TRUE
Acacia capillaris,F,TRUE
Acacia cardiophylla,F,TRUE
Acacia carens,F,TRUE
Acacia carneorum,F,TRUE
Acacia carnosula,F,TRUE
Acacia caroleae,F,TRUE
Acacia cassicula,F,TRUE
Acacia castanostegia,F,TRUE
Acacia cataractae,F,TRUE
Acacia catechu,F,TRUE
Acacia catenulata,F,TRUE
Acacia cavealis,F,TRUE
Acacia cedroides,F,TRUE
Acacia celastrifolia,F,TRUE
Acacia cerastes,F,TRUE
Acacia chalkeri,F,TRUE
Acacia chamaeleon,F,TRUE
Acacia chapmanii,F,TRUE
Acacia chartacea,F,TRUE
Acacia cheelii,F,TRUE
Acacia chinchillensis,F,TRUE
Acacia chippendalei,F,TRUE
Acacia chisholmii,F,TRUE
Acacia choriophylla,F,TRUE
Acacia chrysella,F,TRUE
Acacia chrysocephala,F,TRUE
Acacia chrysochaeta,F,TRUE
Acacia chrysopoda,F,TRUE
Acacia chrysotricha,F,TRUE
Acacia chundra,F,TRUE
Acacia cincinnata,F,TRUE
Acacia citrinoviridis,F,TRUE
Acacia citriodora,F,FALSE
Acacia clandullensis,F,TRUE
Acacia clelandii,F,TRUE
Acacia clunies-rossiae,F,TRUE
Acacia clydonophora,F,TRUE
Acacia cochlearis,F,TRUE
Acacia cochliacantha,F,TRUE
Acacia cochlocarpa,F,TRUE
Acacia cognata,F,TRUE
Acacia colei,F,TRUE
Acacia colletioides,F,TRUE
Acacia collinsii,F,TRUE
Acacia comans,F,TRUE
Acacia compacta,F,TRUE
Acacia complanata,F,TRUE
Acacia concinna,C,TRUE
Acacia concolorans,F,TRUE
Acacia concurrens,F,TRUE
Acacia conferta,F,TRUE
Acacia confluens,F,TRUE
Acacia confusa,F,TRUE
Acacia congesta,F,TRUE
Acacia conjunctifolia,F,TRUE
Acacia conniana,F,TRUE
Acacia consanguinea,F,TRUE
Acacia consobrina,F,TRUE
Acacia conspersa,F,TRUE
Acacia constablei,F,TRUE
Acacia continua,F,TRUE
Acacia convallium,F,TRUE
Acacia coolgardiensis,F,TRUE
Acacia coriacea,F,TRUE
Acacia cornigera,F,TRUE
Acacia costata,F,TRUE
Acacia costiniana,F,TRUE
Acacia coulteri,F,TRUE
Acacia courtii,F,TRUE
Acacia covenyi,F,TRUE
Acacia cowaniana,F,TRUE
Acacia cowleana,F,TRUE
Acacia cracentis,F,TRUE
Acacia craspedocarpa,F,TRUE
Acacia crassa,F,TRUE
Acacia crassicarpa,F,TRUE
Acacia crassifolia,F,TRUE
Acacia crassistipula,F,TRUE
Acacia crassiuscula,F,TRUE
Acacia crassuloides,F,TRUE
Acacia creatacea,F,TRUE
Acacia cremiflora,F,TRUE
Acacia crenulata,F,TRUE
Acacia cretata,F,TRUE
Acacia crispula,F,TRUE
Acacia crombiei,F,TRUE
Acacia cultriformis,F,TRUE
Acacia cummingiana,F,TRUE
Acacia cuneifolia,F,TRUE
Acacia cupularis,F,TRUE
Acacia curranii,F,TRUE
Acacia curvata,F,TRUE
Acacia curvinervia,F,TRUE
Acacia cuspidifolia,F,TRUE
Acacia cuthbertsonii,F,TRUE
Acacia cyclops,F,TRUE
Acacia cylindrica,F,TRUE
Acacia cyperophylla,F,TRUE
Acacia dacrydioides,F,TRUE
Acacia dallachiana,F,TRUE
Acacia dangarensis,F,TRUE
Acacia daviesioides,F,TRUE
Acacia davyi,F,TRUE
Acacia daweana,F,TRUE
Acacia dawsonii,F,TRUE
Acacia dealbata,F,TRUE
Acacia deanei,F,TRUE
Acacia debilis,F,TRUE
Acacia declinata,F,TRUE
Acacia decora,F,TRUE
Acacia decurrens,F,TRUE
Acacia deficiens,F,TRUE
Acacia deflexa,F,TRUE
Acacia delavayi,C,TRUE
Acacia delibrata,F,TRUE
Acacia delicatula,F,TRUE
Acacia delphina,F,TRUE
Acacia deltoidea,F,TRUE
Acacia demissa,F,TRUE
Acacia dempsteri,F,TRUE
Acacia densiflora,F,TRUE
Acacia denticulosa,F,TRUE
Acacia dentifera,F,TRUE
Acacia depressa,F,TRUE
Acacia dermatophylla,F,TRUE
Acacia desertorum,F,TRUE
Acacia desmondii,F,TRUE
Acacia deuteroneura,F,TRUE
Acacia diaphana,F,TRUE
Acacia diaphyllodinea,F,TRUE
Acacia dictyoneura,F,TRUE
Acacia dictyophleba,F,TRUE
Acacia didyma,F,TRUE
Acacia dielsii,F,TRUE
Acacia dietrichiana,F,TRUE
Acacia difficilis,F,TRUE
Acacia difformis,F,TRUE
Acacia dilatata,F,TRUE
Acacia dimidiata,F,TRUE
Acacia diminuta,F,TRUE
Acacia dissona,F,TRUE
Acacia distans,F,TRUE
Acacia disticha,F,TRUE
Acacia ditricha,F,TRUE
Acacia divergens,F,TRUE
Acacia dodonaeifolia,F,TRUE
Acacia dolichophylla,F,TRUE
Acacia dolichostachya,F,TRUE
Acacia donaldsonii,F,TRUE
Acacia doratoxylon,F,TRUE
Acacia dorothea,F,TRUE
Acacia dorsenna,F,TRUE
Acacia drepanocarpa,F,TRUE
Acacia drepanolobium,F,TRUE
Acacia drepanophylla,F,TRUE
Acacia drewiana,F,TRUE
Acacia drummondii,F,TRUE
Acacia dudgeoni,F,TRUE
Acacia dunnii,F,TRUE
Acacia dura,F,TRUE
Acacia durabilis,F,TRUE
Acacia duriuscula,F,TRUE
Acacia dyeri,F,FALSE
Acacia eburnea,F,TRUE
Acacia ebutsiniorum,F,FALSE
Acacia echinula,F,TRUE
Acacia echinuliflora,F,TRUE
Acacia edgeworthii,F,TRUE
Acacia effusa,F,TRUE
Acacia ehrenbergiana,F,TRUE
Acacia elachantha,F,TRUE
Acacia elata,F,TRUE
Acacia elatior,F,TRUE
Acacia elongata,F,TRUE
Acacia elsherana,F,FALSE
Acacia empelioclada,F,TRUE
Acacia enervia,F,TRUE
Acacia ensifolia,F,TRUE
Acacia enterocarpa,F,TRUE
Acacia epacantha,F,TRUE
Acacia epedunculata,F,TRUE
Acacia ephedroides,F,TRUE
Acacia eremaea,F,TRUE
Acacia eremophila,F,TRUE
Acacia eremophiloides,F,TRUE
Acacia ericifolia,F,TRUE
Acacia ericksoniae,F,TRUE
Acacia erinacea,F,TRUE
Acacia erioclada,F,TRUE
Acacia erioloba,F,TRUE
Acacia eriopoda,F,TRUE
Acacia errabunda,F,TRUE
Acacia erubescens,F,TRUE
Acacia erythrocalyx,C,TRUE
Acacia estrophiolata,F,TRUE
Acacia etbaica,F,TRUE
Acacia euthyphylla,F,TRUE
Acacia evenulosa,F,TRUE
Acacia everistii,F,TRUE
Acacia excelsa,F,TRUE
Acacia excentrica,F,TRUE
Acacia exilis,F,TRUE
Acacia exocarpoides,F,TRUE
Acacia extensa,F,TRUE
Acacia exuvialis,F,TRUE
Acacia fagonioides,F,TRUE
Acacia falcata,F,TRUE
Acacia falciformis,F,TRUE
Acacia farinosa,F,TRUE
Acacia farnesiana,F,TRUE
Acacia fasciculifera,F,TRUE
Acacia fauntleroyi,F,TRUE
Acacia ferocior,F,TRUE
Acacia ferruginea,F,TRUE
Acacia filamentosa,F,TRUE
Acacia filicifolia,F,TRUE
Acacia filifolia,F,TRUE
Acacia filipes,F,TRUE
Acacia fimbriata,F,TRUE
Acacia flabellifolia,F,TRUE
Acacia flagelliformis,F,TRUE
Acacia flavescens,F,TRUE
Acacia flavipila,F,TRUE
Acacia fleckeri,F,TRUE
Acacia fleckii,F,TRUE
Acacia flexifolia,F,TRUE
Acacia flocktoniae,F,TRUE
Acacia floribunda,F,TRUE
Acacia floydii,F,TRUE
Acacia formidabilis,F,TRUE
Acacia forrestiana,F,TRUE
Acacia forsythii,F,TRUE
Acacia fragilis,F,TRUE
Acacia frigescens,F,TRUE
Acacia froggattii,F,TRUE
Acacia fulva,F,TRUE
Acacia gageana,F,TRUE
Acacia galeata,F,TRUE
Acacia galioides,F,TRUE
Acacia galpinii,F,TRUE
Acacia gardneri,F,TRUE
Acacia gaumeri,F,TRUE
Acacia gelasina,F,TRUE
Acacia gemina,F,TRUE
Acacia genistifolia,F,TRUE
Acacia gentlei,F,TRUE
Acacia georgensis,F,TRUE
Acacia georginae,F,TRUE
Acacia gerrardii,F,TRUE
Acacia gibbosa,F,TRUE
Acacia gilbertii,F,TRUE
Acacia gilesiana,F,TRUE
Acacia gillii,F,TRUE
Acacia gittinsii,F,TRUE
Acacia gladiiformis,F,TRUE
Acacia glandulicarpa,F,TRUE
Acacia glauca,F,TRUE
Acacia glaucissima,F,TRUE
Acacia glaucocaesia,F,TRUE
Acacia glaucocarpa,F,TRUE
Acacia glaucoptera,F,TRUE
Acacia gloeotricha,F,TRUE
Acacia glutinosissima,F,TRUE
Acacia gnidium,F,TRUE
Acacia goetzei,F,TRUE
Acacia gonocarpa,F,TRUE
Acacia gonoclada,F,TRUE
Acacia gonophylla,F,TRUE
Acacia gordonii,F,TRUE
Acacia gourmaensis,F,TRUE
Acacia gracilenta,F,TRUE
Acacia gracilifolia,F,TRUE
Acacia gracillima,F,TRUE
Acacia grahamii,C,FALSE
Acacia grandicornuta,F,TRUE
Acacia grandifolia,F,TRUE
Acacia grandistipula,C,TRUE
Acacia granitica,F,TRUE
Acacia graniticola,F,TRUE
Acacia grasbyi,F,TRUE
Acacia greggii,F,TRUE
Acacia gregorii,F,TRUE
Acacia grisea,F,TRUE
Acacia gummifera,F,TRUE
Acacia gunnii,F,TRUE
Acacia guymeri,F,TRUE
Acacia hadrophylla,F,TRUE
Acacia haematoxylon,F,TRUE
Acacia hakeoides,F,TRUE
Acacia halliana,F,TRUE
Acacia hamersleyensis,F,TRUE
Acacia hamiltoniana,F,TRUE
Acacia hammondii,F,TRUE
Acacia hamulosa,F,TRUE
Acacia handonis,F,TRUE
Acacia harpophylla,F,TRUE
Acacia harveyi,F,TRUE
Acacia hastulata,F,TRUE
Acacia havilandiorum,F,TRUE
Acacia hayesii,C,TRUE
Acacia hebeclada,F,TRUE
Acacia helicophylla,F,TRUE
Acacia helmsiana,F,TRUE
Acacia hemignosta,F,TRUE
Acacia hemiteles,F,TRUE
Acacia hemsleyi,F,TRUE
Acacia hendersonii,F,TRUE
Acacia hereroensis,F,TRUE
Acacia heterochroa,F,TRUE
Acacia heteroclita,F,TRUE
Acacia heteroneura,F,TRUE
Acacia heterophylla,F,TRUE
Acacia hexaneura,F,TRUE
Acacia hildebrandtii,C,TRUE
Acacia hilliana,F,TRUE
Acacia hindsii,F,TRUE
Acacia hippuroides,F,TRUE
Acacia hispidula,F,TRUE
Acacia hockingsii,F,TRUE
Acacia hohenackeri,C,TRUE
Acacia holosericea,F,TRUE
Acacia holotricha,F,TRUE
Acacia homaloclada,F,TRUE
Acacia homalophylla,F,TRUE
Acacia horrida,F,TRUE
Acacia horridula,F,TRUE
Acacia howittii,F,TRUE
Acacia hubbardiana,F,TRUE
Acacia huberi,C,TRUE
Acacia huegelii,F,TRUE
Acacia humifusa,F,TRUE
Acacia hyaloneura,F,TRUE
Acacia hydaspica,F,TRUE
Acacia hylonoma,F,TRUE
Acacia hypermeces,F,TRUE
Acacia hystrix,F,TRUE
Acacia idiomorpha,F,TRUE
Acacia imbricata,F,TRUE
Acacia imitans,F,TRUE
Acacia imparilis,F,TRUE
Acacia implexa,F,TRUE
Acacia improcera,F,TRUE
Acacia inaequilatera,F,TRUE
Acacia inaequiloba,F,TRUE
Acacia inamabilis,F,TRUE
Acacia incanicarpa,F,TRUE
Acacia inceana,F,TRUE
Acacia incongesta,F,TRUE
Acacia incrassata,F,TRUE
Acacia incurva,F,TRUE
Acacia infecunda,F,FALSE
Acacia ingramii,F,TRUE
Acacia ingrata,F,TRUE
Acacia inophyloia,F,TRUE
Acacia inops,F,TRUE
Acacia insolita,F,TRUE
Acacia intorta,F,TRUE
Acacia intricata,F,TRUE
Acacia intsia,C,TRUE
Acacia irrorata,F,TRUE
Acacia islana,F,TRUE
Acacia isoneura,F,TRUE
Acacia iteaphylla,F,TRUE
Acacia ixiophylla,F,TRUE
Acacia ixodes,F,TRUE
Acacia jackesiana,F,TRUE
Acacia jacksonioides,F,TRUE
Acacia jacquemontii,F,TRUE
Acacia jamesiana,F,TRUE
Acacia jasperensis,F,TRUE
Acacia jennerae,F,TRUE
Acacia jensenii,F,TRUE
Acacia jibberdingensis,F,TRUE
Acacia johannis,F,TRUE
Acacia johnsonii,F,TRUE
Acacia johnwoodii,F,FALSE
Acacia jonesii,F,TRUE
Acacia jucunda,F,TRUE
Acacia julifera,F,TRUE
Acacia juncifolia,F,TRUE
Acacia kalgoorliensis,F,TRUE
Acacia kamerunensis,C,TRUE
Acacia karroo,F,TRUE
Acacia kelleri,F,TRUE
Acacia kempeana,F,TRUE
Acacia kenneallyi,F,TRUE
Acacia kerryana,F,TRUE
Acacia kettlewelliae,F,TRUE
Acacia kimberleyensis,F,TRUE
Acacia kingiana,F,TRUE
Acacia kirkii,F,TRUE
Acacia klugii,C,TRUE
Acacia koa,F,TRUE
Acacia koaia,F,TRUE
Acacia kochii,F,TRUE
Acacia kosiensis,F,FALSE
Acacia kraussiana,C,TRUE
Acacia kuhlmannii,C,TRUE
Acacia kulnurensis,F,FALSE
Acacia kybeanensis,F,TRUE
Acacia kydrensis,F,TRUE
Acacia laccata,F,TRUE
Acacia lacerans,C,TRUE
Acacia lacertensis,F,TRUE
Acacia lachnophylla,F,TRUE
Acacia laeta,F,TRUE
Acacia lahai,F,TRUE
Acacia lanceolata,F,TRUE
Acacia lanei,F,TRUE
Acacia lanigera,F,TRUE
Acacia lanuginophylla,F,TRUE
Acacia laricina,F,TRUE
Acacia lasiocalyx,F,TRUE
Acacia lasiocarpa,F,TRUE
Acacia lasiopetala,F,TRUE
Acacia latescens,F,TRUE
Acacia latifolia,F,TRUE
Acacia latipes,F,TRUE
Acacia latisepala,F,TRUE
Acacia latzii,F,TRUE
Acacia lazaridis,F,TRUE
Acacia legnota,F,TRUE
Acacia leichhardtii,F,TRUE
Acacia leiocalyx,F,TRUE
Acacia leioderma,F,TRUE
Acacia leiophylla,F,TRUE
Acacia lentiginea,F,TRUE
Acacia leprosa,F,TRUE
Acacia leptalea,F,TRUE
Acacia leptocarpa,F,TRUE
Acacia leptoclada,F,TRUE
Acacia leptoloba,F,TRUE
Acacia leptoneura,F,TRUE
Acacia leptopetala,F,TRUE
Acacia leptophleba,F,TRUE
Acacia leptospermoides,F,TRUE
Acacia leptostachya,F,TRUE
Acacia leucoclada,F,TRUE
Acacia leucolobia,F,TRUE
Acacia leucophloea,F,TRUE
Acacia levata,F,TRUE
Acacia ligulata,F,TRUE
Acacia ligustrina,F,TRUE
Acacia limbata,F,TRUE
Acacia linarioides,F,TRUE
Acacia linearifolia,F,TRUE
Acacia lineata,F,TRUE
Acacia lineolata,F,TRUE
Acacia linifolia,F,TRUE
Acacia lirellata,F,TRUE
Acacia littorea,F,TRUE
Acacia lobulata,F,TRUE
Acacia loderi,F,TRUE
Acacia longifolia,F,TRUE
Acacia longipedunculata,F,TRUE
Acacia longiphyllodinea,F,TRUE
Acacia longispicata,F,TRUE
Acacia longispinea,F,TRUE
Acacia longissima,F,TRUE
Acacia loretensis,C,TRUE
Acacia loroloba,F,TRUE
Acacia loxophylla,F,TRUE
Acacia lucasii,F,TRUE
Acacia luederitzii,F,TRUE
Acacia lullfitziorum,F,TRUE
Acacia lunata,F,TRUE
Acacia luteola,F,TRUE
