Species,NFC,Legume,Order,Family,Data_fixing,Source,Source2,Data_corrected,Species_corrected,Analysed_Werner_etal.
Trifolium polyphyllum,Yes,Yes,Fabales,Fabaceae,No,Manual,Soudzilovskaia_2012,No_correction,No_correction,Analysed
Oxytropis kubanensis,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Soudzilovskaia_2012,No_correction,No_correction,Not_analysed
Coriaria myrtifolia,Yes,No,Cucurbitales,Coriariaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Coriaria japonica,Yes,No,Cucurbitales,Coriariaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Coriaria arborea,Yes,No,Cucurbitales,Coriariaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Dryas drummondii,Yes,No,Rosales,Rosaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Purshia tridentata,Yes,No,Rosales,Rosaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Purshia glandulosa,Yes,No,Rosales,Rosaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Cercocarpus betuloides,Yes,No,Rosales,Rosaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Cercocarpus montanus,Yes,No,Rosales,Rosaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Casuarina equisetifolia,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Casuarina cunninghamiana,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Casuarina junghuhniana,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Myrica gale,Yes,No,Fagales,Myricaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Myrica faya,Yes,No,Fagales,Myricaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Myrica cerifera,Yes,No,Fagales,Myricaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Myrica pensylvanica,Yes,No,Fagales,Myricaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Myrica javanica,Yes,No,Fagales,Myricaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Myrica pilulifera,Yes,No,Fagales,Myricaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Comptonia peregrina,Yes,No,Fagales,Myricaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Alnus glutinosa,Yes,No,Fagales,Betulaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Alnus incana,Yes,No,Fagales,Betulaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Alnus viridis,Yes,No,Fagales,Betulaceae,Yes,Manual,Becking_1975,No_correction,Species_name_corrected,Not_analysed
