new.sp,old.name
Adenanthos barbigerus,Adenanthos barbiger
Adenanthos pamelus,Adenanthos pamela
Adenanthos strictus,Adenanthos stictus
Akebia longiracemosa,Akebia longeracemosa
Allophylus glabratus,Allophylus glaber
Allophylus le-testui,Allophylus letestui
Alseodaphne owdenii,Alseodaphne owdeni
Amianthium muscitoxicum,Amianthium muscaetoxicum
Banksia serrata,Banksia serra
Banksia solandrii,Banksia solandri
Bellium crassifolium,Belliolum crassifolium
Boquila trifoliolata,Boquila trifoliata
Carnarvonia araliifolia,Carnarvonia araliaefolia
Castanopsis acuminatissima,Castanopsis acuminata
Castanopsis wattii,Castanopsis watii
Cistanthe amarantoides,Cistanthe amaranthoides
Deinbollia fulvotomentella,Deinbollia fulvo
Disanthus cercidifolius,Disanthus cercidifolia
Dryandra shuttelworthiana,Dryandra shuttleworthiana
Drypetes microphylla,Drypetes macrophylla
Eurya groffi,Eurya groffii
Flacourtia ramontchi,Flacourtia ramontchii
Gagea liotardii,Gagea liottardi
Geissoloma marginata,Geissoloma marginatum
Gordonia singaporeana,Gordonia singaporiana
Grevillea bronweniae,Grevillea bronwenae
Grevillea christiniae,Grevillea christinae
Grevillea preissei,Grevillea preissii
Grevillea striata,Grevillea stricta
Grevillea williamsoni,Grevillea williamsonii
Gyrostemon racemigerus,Gyrostemon racemiger
Homalium racemosum,Homalium racemosa
Hydrocharis morsus-ranae,Hydrocharis morsus
Khaya grandifoliola,Khaya grandifolia
Larix griffithii,Larix griffithi
Leucospermum conocarpodendron,Leucospermum conocarpum
Lindernia hyssopoides,Lindernia hyssopioides
Lindsaea macrophylla,Lindsaea microphylla
Lithocarpus caudatifolius,Lithocarpus cauditifolius
Lithocarpus densiflorus,Lithocarpus densiflora
Lithocarpus elizabethiae,Lithocarpus elizabethae
Lithocarpus fenestratus,Lithocarpus fenestrata
Machilus breviflora,Machilus breviftora
Magnolia glaucifolia,Magnolia glauca
Magnolia gloriensis,Magnolia gloriens
Magnolia liliiflora,Magnolia liliflora
Marsilea aegyptica,Marsilea aegyptiaca
Marsilea nubica,Marsilea mutica
Micropholis guyanensis,Micropholis tuianensis
Micropholis williamii,Micropholis williami
Mimetes argenteus,Mimetes argentea
Mimetes hirtus,Mimetes hirta
Najas guadalupensis,Najas guadelupensis
Nephelium ramboutan-ake,Nephelium ramboutanake
Nothofagus solandri,Nothofagus solandrii
Nuphar intermedia,Nuphar intermedium
Nuphar spenneriana,Nuphar spennerianum
Nymphaea odorata,Nymphaea colorata
Nymphaea nouchali,Nymphaea nouchalii
Nymphoides orbiculatum,Nymphoides orbiculata
Ocotea aurantiodora,Ocotea aurea
Ocotea valerioana,Ocotea valeriana
Orites myrtoideus,Orites myrtoidea
Ottelia ulvifolia,Ottelia ulvaefolia
Persea microcarpa,Persea macrocarpa
Persea veraguasensis,Persea veraguensis
Pinus herrerae,Pinus herrerai
Plagioscyphus danguyanus,Placioscyphus danguyanus
Plagioscyphus jumellei,Placioscyphus jumellei
Potamogeton vaginans,Potamogeton vaginatus
Pouteria adolfi-friedericii,Pouteria adolfi
Pouteria dominigensis,Pouteria domingensis
Pouteria atabapoensis,Pouteria rata
Protea mundii,Protea mundi
Protea scolopendriifolia,Protea scolopendriifolium
Quercus chapmanii,Quercus chapmanni
Quercus edithiae,Quercus edithae
Quercus floribunda,Quercus florbunda
Quercus gambelii,Quercus gambellii
Quercus hastingsii,Quercus haas
Quercus macvaughii,Quercus mcvaughii
Quercus rysophylla,Quercus rhysophylla
Rhamnus napalensis,Rhamnus nipalensis
Rhamnus persicifolia,Rhamnus persicaefolia
Rhamnus rhodopea,Rhamnus rhodopeus
Rhodostemonodaphne licanioides,Rhodostemonodaphne licanoides
Ribes amarum,Ribes amara
Ribes diacanthum,Ribes diacantha
Ribes roezlii,Ribes roezli
Salix pendulina,Salix pendula
Sleumerodendron austrocaledonicum,Sleumerodendron austro-caledonicum
Spirodela polyrrhiza,Spirodela polyrhiza
