new.sp,old.name
Stadmania acuminata,Stadmannia acuminata
Staphylea trifolia,Staphylea trifoliata
Stenocarpus umbellifer,Stenocarpus umbelliferus
Stuckenia pectinata,Stuckenia pectinatus
Symplocos chiapensis,Symplocos chinensis
Symplocos henschelii,Symplocos henscheli
Tasmannia montis-wilhelmi,Tasmannia montis-wilhelmii
Toricellia angulata,Torricellia angulata
Toricellia tiliifolia,Torricellia tiliifolia
Trichilia casaretti,Trichilia casarettoi
Turpinia parvifoliola,Turpinia parva
Viburnum davidii,Viburnum davidi
Viburnum hartwegii,Viburnum hartwegi
Virola mollissima,Virola mollis
Virola pavonis,Virola pavo
Zamia vazquezii,Zamia vasquezii
Zostera noltii,Zostera noltei
Larix griffithii,Larix griffithi
Adenanthos barbigerus,Adenanthos barbiger
Adenanthos pamelus,Adenanthos pamela
Adenanthos strictus,Adenanthos stictus
Akebia longiracemosa,Akebia longeracemosa
Allophylus glabratus,Allophylus glaber
Allophylus le-testui,Allophylus letestui
Alseodaphne owdenii,Alseodaphne owdeni
Amianthium muscitoxicum,Amianthium muscaetoxicum
Banksia serrata,Banksia serra
Banksia solandrii,Banksia solandri
Bellium crassifolium,Belliolum crassifolium
Boquila trifoliolata,Boquila trifoliata
Carnarvonia araliifolia,Carnarvonia araliaefolia
Castanopsis acuminatissima,Castanopsis acuminata
Castanopsis wattii,Castanopsis watii
Cistanthe amarantoides,Cistanthe amaranthoides
Deinbollia fulvotomentella,Deinbollia fulvo
Disanthus cercidifolius,Disanthus cercidifolia
Dryandra shuttelworthiana,Dryandra shuttleworthiana
Drypetes microphylla,Drypetes macrophylla
Eurya groffi,Eurya groffii
Flacourtia ramontchi,Flacourtia ramontchii
Gagea liotardii,Gagea liottardi
Geissoloma marginata,Geissoloma marginatum
Gordonia singaporeana,Gordonia singaporiana
Grevillea bronweniae,Grevillea bronwenae
Grevillea christiniae,Grevillea christinae
Grevillea preissei,Grevillea preissii
Grevillea striata,Grevillea stricta
Grevillea williamsoni,Grevillea williamsonii
Gyrostemon racemigerus,Gyrostemon racemiger
Homalium racemosum,Homalium racemosa
Hydrocharis morsus-ranae,Hydrocharis morsus
Khaya grandifoliola,Khaya grandifolia
Larix griffithii,Larix griffithi
Leucospermum conocarpodendron,Leucospermum conocarpum
Lindernia hyssopoides,Lindernia hyssopioides
Lindsaea macrophylla,Lindsaea microphylla
Lithocarpus caudatifolius,Lithocarpus cauditifolius
Lithocarpus densiflorus,Lithocarpus densiflora
Lithocarpus elizabethiae,Lithocarpus elizabethae
Lithocarpus fenestratus,Lithocarpus fenestrata
Lygodium circinatum,Lygodium circinnatum
Machilus breviflora,Machilus breviftora
Magnolia glaucifolia,Magnolia glauca
Magnolia gloriensis,Magnolia gloriens
Magnolia liliiflora,Magnolia liliflora
Marsilea aegyptica,Marsilea aegyptiaca
Marsilea nubica,Marsilea mutica
Micropholis guyanensis,Micropholis tuianensis
Micropholis williamii,Micropholis williami
Mimetes argenteus,Mimetes argentea
Mimetes hirtus,Mimetes hirta
Najas guadalupensis,Najas guadelupensis
Nephelium ramboutan-ake,Nephelium ramboutanake
Nothofagus solandri,Nothofagus solandrii
Nuphar intermedia,Nuphar intermedium
Nuphar spenneriana,Nuphar spennerianum
Nymphaea odorata,Nymphaea colorata
Nymphaea nouchali,Nymphaea nouchalii
Nymphoides orbiculatum,Nymphoides orbiculata
Ocotea aurantiodora,Ocotea aurea
Ocotea valerioana,Ocotea valeriana
Orites myrtoideus,Orites myrtoidea
Ottelia ulvifolia,Ottelia ulvaefolia
Persea microcarpa,Persea macrocarpa
Persea veraguasensis,Persea veraguensis
Pinus herrerae,Pinus herrerai
Plagioscyphus danguyanus,Placioscyphus danguyanus
Plagioscyphus jumellei,Placioscyphus jumellei
Potamogeton vaginans,Potamogeton vaginatus
Pouteria adolfi-friedericii,Pouteria adolfi
Pouteria dominigensis,Pouteria domingensis
Pouteria atabapoensis,Pouteria rata
Protea mundii,Protea mundi
Protea scolopendriifolia,Protea scolopendriifolium
Quercus chapmanii,Quercus chapmanni
Quercus edithiae,Quercus edithae
Quercus floribunda,Quercus florbunda
Quercus gambelii,Quercus gambellii
Quercus hastingsii,Quercus haas
Quercus macvaughii,Quercus mcvaughii
Quercus rysophylla,Quercus rhysophylla
Rhamnus napalensis,Rhamnus nipalensis
Rhamnus persicifolia,Rhamnus persicaefolia
Rhamnus rhodopea,Rhamnus rhodopeus
Rhodostemonodaphne licanioides,Rhodostemonodaphne licanoides
Ribes amarum,Ribes amara
Ribes diacanthum,Ribes diacantha
Ribes roezlii,Ribes roezli
Salix pendulina,Salix pendula
Sleumerodendron austrocaledonicum,Sleumerodendron austro-caledonicum
Spirodela polyrrhiza,Spirodela polyrhiza
Stadmania acuminata,Stadmannia acuminata
Staphylea trifolia,Staphylea trifoliata
Stenocarpus umbellifer,Stenocarpus umbelliferus
Stuckenia pectinata,Stuckenia pectinatus
Symplocos chiapensis,Symplocos chinensis
Symplocos henschelii,Symplocos henscheli
Tasmannia montis-wilhelmi,Tasmannia montis-wilhelmii
Toricellia angulata,Torricellia angulata
Toricellia tiliifolia,Torricellia tiliifolia
Trichilia casaretti,Trichilia casarettoi
Turpinia parvifoliola,Turpinia parva
Viburnum davidii,Viburnum davidi
Viburnum hartwegii,Viburnum hartwegi
Virola mollissima,Virola mollis
Virola pavonis,Virola pavo
Zamia vazquezii,Zamia vasquezii
Zostera noltii,Zostera noltei
Larix griffithii,Larix griffithi
Aleurites moluccanus,Aleurites moluccana
Aloe antandroi,Aloe antandroy
Beyeria lechenaultii,Beyeria leschenaultii
Drosera spatulata,Drosera spathulata
Endostemon camporum,Endostemon camporus
Eucalyptus stenostoma,Eucalyptus stenostome
Nothofagus solandri,Nothofagus solanderi
Nothofagus solandri,Nothofagus solanderi
Philodendron paxianum,Philodendron ptarianum
Plectranthus pubescens,Plectranthus erubescens
Psychotria capensis,Psychotria chiapensis
Smilax glyciphylla,Smilax glycophylla
Hedyotis terminaliflora,Hedyotis terminalis
Heteropterys laurifolia,Heteropteris laurifolia
Psydrax martini,Psydrax martinii
Acridocarpus smeathmanii,Acridocarpus smeathmannii
Ancylobothrys petersiana,Ancylobotrys petersiana
Strophanthus hypoleucos,Strophanthus hypoleucus
Dalechampia tiliifolia,Dalechampia tiliaefolia
Cissus trifoliata,Cissus trifolia
Ipomoea philomega,Ipomoea phyllomega
Mondia whitei,Mondia whiteii
Tynanthus croatianus,Tynnanthus croatianus
Marah macrocarpa,Marah macrocarpus
Tragia micromenes,Tragia micromeres
Amphicarpaea bracteata,Amphicarpa bracteata
Glycine wrightii,Glycine wightii
Strophostyles helvula,Strophostyles helvola
Vigna macrorhyncha,Vigna macrorrhyncha
Utricularia baouleensis,Utricularia baoulensis
Celastrus subspicatus,Celastrus subspicata
Pieris phillyreifolia,Pieris phillyreaefolia
Machaerium seemannii,Machaerium seemanni
Hiptage benghalensis,Hiptage bengalensis
Jasminum dallachyi,Jasminum dallachii
Gouania adenophera,Gouania adenophora
Byttneria catalpifolia,Byttneria catalpaefolia
Byttneria pescapriifolia,Byttneria pescapraeifolia
Celtis iguanaea,Celtis iguanaeus
Odontocarya asarifolia,Odontocarya arifolia
Rhipogonum fawcettianum,Ripogonum fawcettianum
Rhipogonum scandens,Ripogonum scandens
Bauhinia championii,Bauhinia championi
Cissus pinnatifolia,Cissus pinnata
Mendoncia obovata,Mendoncia odorata
Mendoncia vellozoana,Mendoncia velloziana
Ancylobothrys amoena,Ancylobotrys amoena
Ancylobothrys pyriformis,Ancylobotrys pyriformis
Ancylobothrys tayloris,Ancylobotrys tayloris
Cuscuta pentagona,Cuscuta patagona
Ipomoea batatas,Ipomoea batatus
Jacquemontia pentanthos,Jacquemontia pentantha
Doliocarpus guianensis,Doliocarpus guyanensis
Rhynchosia stipata,Rhynchosia stipitata
Solanum lanceifolium,Solanum lancaeifolium
Aristolochia manshuriensis,Aristolochia manchuriensis
Piper betle,Piper betel
Clematis songorica,Clematis songarica
Smilax lasioneura,Smilax lasioneuron
Smilax siphilitica,Smilax syphilitica
Smilax microphylla,Smilax macrophylla
Amyema pendula,Amyema pendulum
Dendrophthoe vitellinus,Dendrophthoe vitellina
Anthurium salvinii,Anthurium salviniae
Calamus conirostris,Calamus conirostirs
Calamus melanacanthus,Calamus melanacanthos
Calamus pilosissimus,Calamus pilossisimus
Calamus quiquesetinervius,Calamus quinquesetinervius
Alangium salviifolium,Alangium salvijolium
Combretum album,Combretum albidum
Tinospora cordifolia,Tinospora cordiflia
Cansjera rheedei,Cansjera rheedii
Kunstleria keralensis,Kunstleria keralense
Ziziphus oenopolia,Ziziphus oenoplia
Ventilago maderaspatana,Ventilago madraspatana
Acacia hohenackeri,Acacia hohenackri
Anemopaegma chrysoleucum,Anemopaegma crysoleucum
Callichlamys latifolia,Callychlamis latifolia
Piptocarpha poeppigiana,Piptocarpha peoppigiana
Machaerium floribundum,Macharium floribundum
Stigmaphyllon lindenianum,Stigmaphyllom lindenianum
Paullinia fibrigera,Paullinia fobrigera
Paullinia fuscescens,Paullinia fuscenscens
Paullinia serjaniifolia,Paullinia serjaniarfolia
Schlegelia sulphurea,Schlegelia sulfurea
Solanum siparunoides,Solanum siparuniodes
Artabotrys monteiroae,Artabotrys monteiroar
Uvaria leptoclados,Uvaria leptocladon
Culcasia falcifolia,Culcasia falcofolia
Ceropegia sankuruensis,Ceropegia sankurensis
Ceropegia nilotica,Ceropegia milotica
Capparis micracantha,Capparis micrantha
Combretum capituliflorum,Combretum capituliforum
Ipomoea cairica,Ipomoea carica
Stictocardia beraviensis,Stiotocardia beraviensis
Sicyos polyacanthos,Sicyos polyacanthus
Tetracera stuhlmanniana,Tetracera stulmanniana
Tragia brevipes,Tragia breviceps
Acacia montigena,Acacia montingena
Rhaphiostylis beninensis,Raphiostylis beninensis
Jasminum dichotomum,Jasminum dictotomum
Opilia amentacea,Opilia amentaceae
Urera hypselodendron,Urea hypselodendron
Cyphostemma kilimandscharicum,Cyphostemma kilimandscharica
Doliocarpus multiflorus,Doliocarpus multiforus
Doliocarpus olivaceus,Doliocarpus olivacens
Machaerium milleflorum,Machaerium millleflorum
Machaerium seemannii,Machaerium seemanii
Prionostemma aspera,Prionostema aspera
Heteropterys laurifolia,Heteropteris laurifolia
Hiraea grandifolia,Hirea grandifolia
Hiraea quapara,Hirea quapara
Hiraea reclinata,Hirea reclinata
Perianthomega vellozoi,Perianthomega vellozii
Adenocalymma bracteolatum,Adenocalyma bracteolatum
Byttneria catalpifolia,Byttneria catalpaefolia
Chaetocalyx brasiliensis,Chaetocalyx brasilensis
Serjania hebecarpa,Serjana hebecarpa
Adenocalymma impressum,Adenocalymna impressum
Cayaponia ophthalmica,Cayaponia opthalmica
Dichapetalum rugosum,Dichapetalum ugosum
Strychnos ramentifera,Strychnos ramitifera
Hiraea fagifolia,Hirea fagifolia
Mendoncia vellozoana,Mendoncia velloziana
Odontocarya emarginata,Odontocarya emarginatus
Odontocarya rusbyi,Odontocarya rusby
Argyreia capitiformis,Argyria capitiformis
Cyclea peltata,Cyclia peltata
Dioscorea trinervia,Dioscorea trinerve
Gouania leptostachya,Gouania laptostachya
Gynostemma pentaphyllum,Gynostemma pentaphylla
Mucuna pruriens,Mucuna pruiens
Paederia foetida,Paedaria foetida
Piper betle,Piper betel
Stephania hernandiifolia,Stephania harnandifolia
Stixis suaveolens,Stixis sauveolens
Tetracera sarmentosa,Tetasera sarmentosa
Thladiantha cordifolia,Thlandiantha cordifolia
Anredera cordifolia,Anredera corifolia
Forsteronia vellozoana,Forsteronia velloziana
Herreria salsaparilha,Herriria salsaparilha
Mendoncia puberula,Mendonicia puberula
Desmos viridiflorus,Demos viridiflora
Maerua oblongifolia,Maurua oblongifolia
Celastrus paniculatus,Celastrus panifulatus
Maytenus jefeana,Maytenus heyeana
Combretum album,Combretum albidum
Ipomoea quamoclit,Ipomoea quanmoclit
Cissampelos pareira,Cissampelis pareira
Diploclisia glaucescens,Diploclisia glaucenscens
Cansjera rheedei,Cansjera rheedii
Pseudarthria viscida,Pseudarthria ciscida
Ziziphus oenopolia,Ziziphus oenoplia
Pseudaidia speciosa,Pseudaida speciosa
Toddalia asiatica,Toddalia asiactica
Ranunculus ficariifolius,Ranunculus ficaria
Vaccinium vitis-idaea,Vaccinium vitis
Honckenya peploides,Honkenya peploides
Salix serpyllifolia,Salix serpillifolia
Scirpus triquetriformis,Scirpus triqueter
Juncus gerardii,Juncus gerardi
Ranunculus ficariifolius,Ranunculus ficaria
Hypericum elodeoides,Hypericum elodes
Rhamnus cathartica,Rhamnus catharticus
Rhamnus cathartica,Rhamnus catharticus
Robinia pseudoacacia,Robinia pseudacacia
Pinus elliottii,Pinus elliotii
Acer maximowiczianum,Acer maximowiczii
Mangifera persiciforma,Mangifera persiciformis
Rhus copallinum,Rhus copallina
Schinus terebinthifolia,Schinus terebinthifolius
Asimina pygmaea,Asimina pygmea
Ilex verticillata,Ilex verticellata
Syagrus romanzoffiana,Syagrus romanzoffianum
Betula corylifolia,Betula cordifolia
Betula maximowicziana,Betula maximowiczii
Tabebuia roseoalba,Tabebuia roseo-alba
Buxus austroyunnanensis,Buxus austro-yunnanensis
Sambucus cerulea,Sambucus caerulea
Sambucus canadensis,Sambucus canadencsis
Clethra acuminata,Clethra accuminata
Aleurites moluccanus,Aleurites moluccana
Dalbergia baronii,Dalbergia baroni
Dalbergia congestiflora,Dalbergia congestifloria
Castanea sativa,Castanea sative
Quercus margarettiae,Quercus margaretta
Ribes alpestre,Ribes alpestris
Carya illinoinensis,Carya illinoensis
Hibiscus tilliaceus,Hibiscus tiliaceus
Artocarpus anisophyllus,Artocarpus ansiophyllus
Artocarpus hypargyreus,Artocarpus hypargyraea
Eucalyptus camaldulensis,Eucalyptus camadulensis
Psidium galapagaeum,Psidium galapageium
Psidium longipetiolatum,Psidium longipes
Syzygium malaccense,Syzygium malaceense
Ligustrum lucidum,Ligustrum luciudum
Prunus caroliniana,Prunus capollin
Pyrus calleryana,Pyrus calleryiana
Dodonaea viscosa,Dodonaea viscose
Franklinia alatamaha,Franklinia alatamaba
Pandanus kusaicolus,Pandanus kusaicola
Stylochaeton natalensis,Stylochaeton natalense
Stylochaeton natalensis,Stylochaeton natalense
Stylochaeton natalensis,Stylochaeton natalense
Stylochaeton salaamicus,Stylochaeton salaamicum
Stylochaeton angolensis,Stylochaeton angolense
Stylochaeton lancifolius,Stylochaeton lancifolium
Stylochaeton grandis,Stylochaeton grande
Stylochaeton puberulus,Stylochaeton puberulum
Stylochaeton oligocarpus,Stylochaeton oligocarpum
Stylochaeton hypogaeus,Stylochaeton hypogeum
Stylochaeton borumensis,Stylochaeton borumense
Stylochaeton euryphyllus,Stylochaeton euryphyllum
Stylochaeton crassispathus,Stylochaeton crassispathum
Stylochaeton cuculliferus,Stylochaeton cuculliferum
Amorphophallus bankokensis,Amorphophallus bangkokensis
Stylochaeton pilosus,Stylochaeton pilosum
Stylochaeton natalensis,Stylochaeton natalense
Stylochaeton milneanus,Stylochaeton milneanum
Stylochaeton shabaensis,Stylochaeton shabaense
Amorphophallus saraburiensis,Amorphophallus saraburensis
Anthurium angelopolinense,Anthurium angelopolisense
Alocasia sanderiana,Alocasia sanderi
Anthurium maximilianii,Anthurium maximiliani
Anthurium oreodoxum,Anthurium oreodoxa
Dieffenbachia bechiana,Dieffenbachia beachiana
Philodendron devansayeanum,Philodendron devansayanum
Alocasia sanderiana,Alocasia sanderi
Stylochaeton angolensis,Stylochaeton angolense
Stylochaeton lancifolius,Stylochaeton lancifolium
Stylochaeton hypogaeus,Stylochaeton hypogeum
Tulipa albertii,Tulipa alberti
Rhipogonum fawcettianum,Ripogonum fawcettianum
Rhipogonum brevifolium,Ripogonum brevifolium
Rhipogonum elseyanum,Ripogonum elseyanum
Rhipogonum scandens,Ripogonum scandens
Rhipogonum discolor,Ripogonum discolor
Rhipogonum album,Ripogonum album
Allium bigelowii,Allium bigelovii
Brunsvigia josephiniae,Brunsvigia josephinae
Crocus minimus,Crocus minutus
Ferraria ovata,Ferraria ornata
Gladiolus deserticolus,Gladiolus deserticola
Romulea eburnea,Romulea eburea
Eccremis coarctata,Excremis coarctata
Eremurus sogdianus,Eremurus soogdianus
Androstephium caeruleum,Androstephium coeruleum
Arthropodium cirrhatum,Arthropodium cirratum
Polygonatum jinzhaiense,Polygonatum qinghaiense
Aspidistra longiloba,Aspidistra longituba
Lachenalia lutea,Lachenalia luteola
Muscari kurdicum,Muscari turcicum
Lachenalia glaucophylla,Lachenalia glauca
Bellevalia dolicophylla,Bellevalia dolichophylla
Lachenalia martinae,Lachenalia martiniae
Eriospermum deserticolum,Eriospermum deserticola
Coccothrinax victorini,Coccothrinax victorinii
Copernicia molineti,Copernicia molinetii
Calamus melanacanthus,Calamus melanacanthos
Prestoea longipetiolata,Prestoea longepetiolata
Prestoea longipetiolata,Prestoea longepetiolata
Coccothrinax victorini,Coccothrinax victorinii
Prestoea longipetiolata,Prestoea longepetiolata
Prestoea longipetiolata,Prestoea longepetiolata
Prestoea longipetiolata,Prestoea longepetiolata
Prestoea longipetiolata,Prestoea longepetiolata
Carex schottii,Carex schatzii
Carex longirostrata,Carex longerostrata
Carex molestiformis,Carex modesti
Carex longirostrata,Carex longerostrata
Carex berteroana,Carex berteroniana
Carex circinnata,Carex circinata
Scirpoides varius,Scirpoides varia
Carex longirostrata,Carex longerostrata
Melica schafkatii,Melica schafkati
Calamagrostis stolizkai,Calamagrostis stolizkae
Restio partenocarpos,Restio parthenocarpos
Pennisetum foermeranum,Pennisetum foermerianum
Restio nubigensis,Restio nubigenus
Restio conspicatus,Restio constipatus
Conostylis scorsiflora,Conostylis seorsiflora
Conostylis scorsiflora,Conostylis seorsiflora
Conostylis scorsiflora,Conostylis seorsiflora
Conostylis scorsiflora,Conostylis seorsiflora
Commelina kituloensis,Commelina kitaleensis
Commelina kituloensis,Commelina kitaleensis
Amomum brachychilus,Amomum brachychilum
Heliconia ortotricha,Heliconia orthotricha
Amomum laxisquamosum,Amomum laxesquamosum
Alpinia rosacea,Alpinia rugosa
Aegilops uniatistata,Aegilops uniaristata
Agrostis ambatoensis,Agrostis alba
Aleurites moluccanus,Aleurites moluccana
Ampelodesmos mauritanicus,Ampelodesmos mauritanica
Bouteloua gracillis,Bouteloua gracilis
Calamagrostis epigejos,Calamagrostis epigeios
Carex ovatispiculata,Carex ovalis
Schinus terebinthifolia,Schinus terebinthifolius
Abarema cochliocarpos,Abarema cochliacarpos
Artocarpus rubrovenius,Artocarpus rubrovenia
Acer monspessulanum,Acer mono
Acer pseudosieboldianum,Acer pseudo-sieboldianum
Acer circinatum,Acer circinnatum
Acer pensylvanicum,Acer pennsylvanicum
Acer pseudoplatanus,Acer pseudo-platanus
Bouea macrophylla,Bouea microphylla
Campnosperma panamense,Campnosperma panamensis
Campnosperma auriculatum,Campnosperma auriculata
Campnosperma brevipetiolatum,Campnosperma brevipetiolata
Euroschinus falcatus,Euroschinus falcata
Pleiogynium timoriense,Pleiogynium timorense
Rhus chirindensis,Rhus chirendensis
Combretocarpus rotundatus,Combretocarpus rotuodatus
Aspidosperma cylindrocarpon,Aspidosperma cylindrocarpum
Himatanthus articulatus,Himatanthus articulata
Dendropanax pendulus,Dendropanax pendulum
Oreopanax xalapensis,Oreopanax xalapense
Pseudopanax crassifolius,Pseudopanax crassifolium
Schefflera sciodaphyllum,Schefflera sciadophyllum
Schefflera macrocarpa,Schefflera macrocarpum
Vernonia patentissima,Vernonia patens
Betula albosinensis,Betula albo-sinensis
Betula dahurica,Betula davurica
Jacaranda mimosifolia,Jacaranda mimosaefolia
Phyllarthron madagascariense,Phyllarthron madagascariensis
Tabebuia roseoalba,Tabebuia roseo-alba
Bombax brevicuspe,Bombax brevipes
Catostemma altsonii,Catostemma alstonii
Catostemma altsonii,Catostemma altsoni
Ceiba trischistandra,Ceiba trichistandra
Coelostegia borneensis,Coelostegia sborneensis
Durio ceylanicus,Durio zeylanicus
Canarium pseudodecumanum,Canarium pseudo-decumanum
Canarium schweinfurtii,Canarium schweinfurthii
Commiphora guillauminii,Commiphora guillaumini
Commiphora lughensis,Commiphora puguensis
Dacryodes le-testui,Dacryodes letestui
Protium beandou,Protium beandon
Protium serratum,Protium serrata
Protium krukoffii,Protium krukofii
Protium aracouchini,Protium aracouchili
Trattinnickia rhoifolia,Trattinickia rhoifolia
Trattinnickia burserifolia,Trattinnickia burseraefolia
Capparis baducca,Capparis baduca
Crateva tapia,Crataeva tapia
Sambucus cerulea,Sambucus caerulea
Cecropia glaziovii,Cecropia glaziovi
Cecropia hololeuca,Cercropia hololeuca
Coussapoa longipedunculata,Coussapoa longepedunculata
Pourouma cecropiifolia,Pourouma cecropiaefolia
Cassine eucleiformis,Cassine eucleaeformis
Maurocenia frangularia,Maurocenia frangula
Licania brittoniana,Licania britteniana
Parinari insularum,Parinari insalarum
Calophyllum drouhardii,Calophyllum drouhardi
Calophyllum flavoramulum,Calophyllum flavo-ramulum
Calophyllum neoebudicum,Calophyllum neo-ebudicum
Calophyllum wallichiana,Calophyllum wallichianum
Garcinia benthamiana,Garcinia benthami
Garcinia lanceifolia,Garcinia lanceaefolia
Garcinia miquelii,Garcinia miqueli
Garcinia nigrolineata,Garcinia nigro-lineata
Mammea glaucifolia,Mammea glauca
Cochlospermum planchonii,Cochlospermum planchoni
Strephonema sericeum,Strephonema sericea
Terminalia bellirica,Terminalia belirica
Terminalia oblonga,Terminalia oblongata
Terminalia bellirica,Terminalia bellerica
Terminalia brasiliensis,Terminalia brassii
Corynocarpus laevigatus,Corynocarpus laevigata
Dactylocladus stenostachys,Dactylocladus stenostachya
Peponium chirindensis,Peponium chirindense
Geissois benthamiana,Geissois benthami
Geissois benthamiana,Geissois benthamii
Daphniphyllum macropodum,Daphniphyllum macropodium
Dipterocarpus bourdillonii,Dipterocarpus bourdilloni
Monotes africana,Monotes africanus
Diospyros sprucei,Diospyros brucei
Diospyros senensis,Diospyros sinensis
Diospyros panamensis,Diospyros bantamensis
Diospyros densiflora,Diospyros densa
Diospyros elliptifolia,Diospyros ellipticifolia
Diospyros hallieri,Diospyros hallierii
Diospyros lanceifolia,Diospyros lancifolia
Diospyros minahassae,Diospyros minahasae
Diospyros philippinensis,Diospyros philippensis
Diospyros rubrolanata,Diospyros rubra
Elaeocarpus cristatus,Elaeocarpus aristatus
Elaeocarpus grandiflorus,Elaeocarpus grandis
Elaeocarpus lanceifolius,Elaeocarpus lanceaefolius
Sloanea berteroana,Sloanea berteriana
Bejaria aestuans,Befaria aestuans
Alchornea triplinervia,Alchornea triplinerva
Antidesma tetrandrum,Antidesma tetrandum
Aporosa sphaeridiophora,Aporosa sphaeritophora
Aporosa lunata,Aporosa lunatum
Aporosa yunnanensis,Aporusa yunnanensis
Chaetocarpus schomburgkianus,Chaetocarpus schomburg
Cleistanthus brideliifolius,Cleistanthus bridelifolius
Koilodepas longifolium,Coelodepas longifolium
Colliguaja brasillensis,Colliguaja brasiliensis
Euphorbia ampliphylla,Euphorbia amplophylla
Euphorbia seretii,Euphorbia sereti
Glochidion borneense,Glochidion borneensis
Glochidion lanceisepalum,Glochidion lancisepalum
Glochidion seemannii,Glochidion seemanni
Hieronyma jamaicensis,Hyeronima jamaicensis
Hieronyma oblonga,Hyeronima oblonga
Hieronyma alchorneoides,Hyeronima alchorneoides
Macaranga longistipulata,Macaranga longestipulata
Macaranga sampsonii,Macaranga sampsoni
Macaranga caladiifolia,Macaranga caladifolia
Homalanthus populneus,Omalanthus populneus
Phyllanthus ciccoides,Phyllanthus discoides
Pimelodendron griffithianum,Pimeleodendron griffithianum
Piranhea longipedunculata,Piranhea longepedunculata
Piranhea trifoliata,Piranhea trifoliolata
Sapium jenmannii,Sapium jenmani
