sp,support,source
Baldellia ranunculoides,A,apweb
Baldellia repens,A,apweb
Villarsia umbricola,A,apweb
Baldellia ranunculoides,A,apweb
Baldellia repens,A,apweb
Lygodium microphyllum,F,apweb
Villarsia umbricola,A,apweb
Amborella trichopoda,C,kew
Asepalum eriantherum,F,kew
Asperula conferta,C,kew
Breynia oblongifolia,C,kew
Caldesia oligococca,F,kew
Carissa bispinosa,C,kew
Coptosperma nigrescens,C,kew
Cynomorium coccineum,F,kew
Damasonium alisma,F,kew
Damasonium minus,F,kew
Dioscorea gillettii,F,kew
Dioscorea heteropoda,F,kew
Dioscorea soso,F,kew
Dioscorea soso,F,kew
Dioscorea soso,C,kew
Echinodorus cordifolius,F,kew
Ephedra aphylla,F,kew
Galeola lindleyana,F,kew
Galium aparine,F,kew
Galium spurium,F,kew
Galium spurium,F,kew
Galium tricornutum,F,kew
Galium triflorum,F,kew
Griselinia littoralis,F,kew
Hydrocharis morsus-ranae,F,kew
Ixora brachypoda,C,kew
Jasminum puberulum,F,kew
Limnobium spongia,F,kew
Limnophyton obtusifolium,F,kew
Liparis loeselii,E,kew
Markhamia zanzibarica,C,kew
Metrosideros robusta,F,kew
Metrosideros umbellata,F,kew
Oldenlandia corymbosa,C,kew
Oldenlandia corymbosa,C,kew
Rubia cordifolia,F,kew
Sabicea acuminata,F,kew
Sabicea diversifolia,F,kew
Schefflera abyssinica,C,kew
Schefflera actinophylla,C,kew
Smilax nipponica,F,kew
Tacca chantrieri,F,kew
Tacca leontopetaloides,F,kew
Thismia rodwayi,F,kew
Vangueria randii,C,kew
Vangueria randii,F,kew
Galium aparine,C,TRY
Acacia polyphylla,C,TRY
Gomphandra australiana,C,TRY
Irvingbaileya australis,C,TRY
Metteniusa nucifera,C,TRY
Pennantia cunninghamii,C,TRY
Platea excelsa,C,TRY
Platea latifolia,C,TRY
Platea excelsa,C,TRY
Platea parvifolia,C,TRY
Platea excelsa,C,TRY
Poraqueiba guianensis,C,TRY
Gomphandra australiana,C,TRY
Salacia elliptica,C,TRY
Ficus deltoidea,C,TRY
Capparis fascicularis,C,TRY
Capparis fascicularis,C,TRY
Rourea minor,C,TRY
Leucopogon amplexicaulis,C,TRY
Agapetes flava,C,TRY
Agapetes mannii,C,TRY
Entada chrysostachys,C,TRY
Heisteria scandens,C,TRY
Lantana camara,C,TRY
Lantana montevidensis,C,TRY
Parthenocissus tricuspidata,C,TRY
Pristimera nervosa,C,TRY
Acacia glomerosa,C,TRY
Acacia caesia,C,TRY
Vinca major,C,TRY
Vinca minor,C,TRY
Heliotropium curassavicum,C,TRY
Tristemma mauritianum,C,TRY
Aerva leucura,C,TRY
Cephalaralia cephalobotrys,C,TRY
Cuscuta kilimanjari,C,TRY
Cuscuta planiflora,C,TRY
Cuscuta campestris,C,TRY
Cuscuta coryli,C,TRY
Cuscuta denticulata,C,TRY
Cuscuta epilinum,C,TRY
Cuscuta gronovii,C,TRY
Cuscuta lupuliformis,C,TRY
Cuscuta salina,C,TRY
Cuscuta epithymum,C,TRY
Polymeria ambigua,C,TRY
Crassula sarmentosa,C,TRY
Ficus burtt-davyi,C,TRY
Acaena novae-zelandiae,C,TRY
Oldenlandia affinis,C,TRY
Alectra dolichocalyx,C,TRY
Cassytha pondoensis,C,TRY
Bomarea glaucescens,C,TRY
Mostuea brunonis,C,TRY
