sp,support,source
Hawkesiophyton ulei,C,TRY
Juanulloa mexicana,C,TRY
Celtis iguanaea,C,TRY
Cassytha glabella,C,TRY
Cassytha pubescens,C,TRY
Dischidia bengalensis,C,TRY
Clusia grandiflora,C,TRY
Clusia panapanari,C,TRY
Cuscuta cephalanthi,C,TRY
Cuscuta glomerata,C,TRY
Cuscuta pentagona,C,TRY
Aeschynanthus lobbiana,C,TRY
Aeschynanthus albida,C,TRY
Ficus subulata,C,TRY
Ernodea littoralis,C,TRY
Feretia aeruginescens,C,TRY
Coussapoa asperifolia,H,TRY
Ficus pertusa,E,TRY
Ficus colubrinae,E,TRY
Amyema miquelii,E,TRY
Ligaria cuneifolia,E,TRY
Cephalaralia cephalobotrys,E,TRY
Blakea foliacea,E,TRY
Amyema congener,E,TRY
Amyema linophylla,E,TRY
Amyema lucasii,E,TRY
Amyema sanguinea,E,TRY
Amyema pendula,E,TRY
Amyema maidenii,E,TRY
Dendrophthoe glabrescens,E,TRY
Loranthus europaeus,E,TRY
Lysiana exocarpi,E,TRY
Oryctanthus alveolatus,E,TRY
Peraxilla tetrapetala,E,TRY
Tristerix verticillatus,E,TRY
Drymonia semicordata,E,TRY
Heteropsis oblongifolia,E,TRY
Heteropsis peruviana,E,TRY
Dischidia bengalensis,E,TRY
Aeschynanthus lobbiana,E,TRY
Aeschynanthus albida,E,TRY
Opilia amentacea,C,Parthasarathy2004
Allophylus serratus,C,Parthasarathy2004
Adelia triloba,C,Mascaro2004
Asteranthe asterias,C,Senbeta2005
Acacia brevispica,C,Senbeta2005
Drymonia coccinea,C,Nabe-Nielsen2001
Micropholis venulosa,C,Nabe-Nielsen2001
Ficus racemosa,C,Uddin2010
Lantana camara,C,Muthumperumal2009
Calystegia sepium,F,leda
Calystegia sepium,C,leda
Convolvulus arvensis,F,leda
Convolvulus arvensis,C,leda
Vicia sylvatica,C,leda
Vicia sepium,C,leda
Viscum album,F,leda
Lathyrus tuberosus,F,leda
Lathyrus tuberosus,C,leda
Vicia cracca,C,leda
Vicia tenuifolia,F,leda
Vicia tenuifolia,C,leda
Rubus idaeus,F,leda
Vicia cassubica,C,leda
Lonicera periclymenum,C,leda
Lonicera periclymenum,F,leda
Lonicera etrusca,F,leda
Lathyrus sylvestris,C,leda
Orthilia secunda,F,leda
Moneses uniflora,F,leda
Chimaphila umbellata,F,leda
Vicia dumetorum,C,leda
Orobanche arenaria,F,leda
Orobanche amethystea,F,leda
Orobanche alba,F,leda
Orobanche hederae,F,leda
Orobanche gracilis,F,leda
Orobanche flava,F,leda
Orobanche elatior,F,leda
Orobanche coerulescens,F,leda
Orobanche caryophyllacea,F,leda
Orobanche ramosa,F,leda
Orobanche purpurea,F,leda
Orobanche minor,F,leda
Orobanche lutea,F,leda
Orobanche lucorum,F,leda
Orobanche loricata,F,leda
Orobanche teucrii,F,leda
Orobanche salviae,F,leda
Orobanche reticulata,F,leda
Orobanche rapum-genistae,F,leda
Lathyrus pratensis,C,leda
Clematis alpina,C,leda
Clematis alpina,F,leda
Clematis vitalba,C,leda
Clematis vitalba,F,leda
Bryonia cretica,F,leda
Bryonia cretica,C,leda
Bryonia alba,F,leda
Bryonia alba,C,leda
Hedera helix,F,leda
Hedera helix,C,leda
Hedera helix,F,leda
Pyrola minor,F,leda
Rosa canina,F,leda
Asparagus officinalis,F,leda
Thesium ebracteatum,F,leda
Thesium bavarum,F,leda
Thesium linophyllon,F,leda
Bartsia alpina,F,leda
Lathraea squamaria,F,leda
Lycium barbarum,F,leda
Solanum dulcamara,C,leda
Solanum dulcamara,F,leda
Rubus caesius,F,leda
Rubus caesius,C,leda
Thesium rostratum,F,leda
Galium spurium,C,leda
Rosa arvensis,F,leda
Convolvulus arvensis,C,leda
Calystegia sepium,C,leda
Convolvulus arvensis,C,leda
Vicia sepium,C,leda
Vicia cracca,C,leda
Vicia tenuifolia,C,leda
Vicia dumetorum,C,leda
Lathyrus pratensis,C,leda
Clematis vitalba,C,leda
Convolvulus arvensis,C,leda
Vicia sepium,C,leda
Vicia cracca,C,leda
Vicia tenuifolia,C,leda
Vicia cassubica,C,leda
Clematis vitalba,C,leda
Hedera helix,C,leda
Solanum dulcamara,C,leda
Bryonia cretica,C,leda
Stellaria media,F,leda
Galium spurium,C,leda
Vicia sylvatica,F,leda
Vicia sepium,F,leda
Vicia cracca,F,leda
Vicia cassubica,F,leda
Lathyrus sylvestris,F,leda
Vicia dumetorum,F,leda
Lathyrus pratensis,F,leda
Cuscuta epithymum,C,leda
Vitis vinifera,C,leda
Lonicera periclymenum,C,leda
Clematis vitalba,C,leda
Bryonia cretica,C,leda
Bryonia alba,C,leda
Hedera helix,C,leda
Solanum dulcamara,C,leda
Clematis vitalba,C,leda
Bryonia cretica,C,leda
Vicia tenuifolia,C,leda
Parthenocissus quinquefolia,C,leda
Vicia cracca,C,leda
Calystegia sepium,C,leda
Convolvulus arvensis,C,leda
Vicia sylvatica,C,leda
Vicia sepium,C,leda
Lathyrus tuberosus,C,leda
Vicia cracca,C,leda
Vicia tenuifolia,C,leda
Vicia cassubica,C,leda
Lonicera periclymenum,C,leda
Lathyrus sylvestris,C,leda
Vicia dumetorum,C,leda
Lathyrus pratensis,C,leda
Clematis alpina,C,leda
Clematis vitalba,C,leda
Bryonia cretica,C,leda
Bryonia alba,C,leda
Hedera helix,C,leda
Solanum dulcamara,C,leda
Rubus caesius,C,leda
Galium spurium,C,leda
Rubus armeniacus,F,leda
Parthenocissus quinquefolia,F,leda
Vitis vinifera,F,leda
Schefflera actinophylla,F,Wikipedia.list.of.trees.and.shrubs
Capparis arrabidae,F,Wikipedia.list.of.trees.and.shrubs
Euonymus fortunei,F,Wikipedia.list.of.trees.and.shrubs
Clusia rosea,F,Wikipedia.list.of.trees.and.shrubs
Dalbergia frutescens,F,Wikipedia.list.of.trees.and.shrubs
Ficus altissima,F,Wikipedia.list.of.trees.and.shrubs
Ficus aurea,F,Wikipedia.list.of.trees.and.shrubs
Ficus auriculata,F,Wikipedia.list.of.trees.and.shrubs
Ficus benghalensis,F,Wikipedia.list.of.trees.and.shrubs
Ficus benjamina,F,Wikipedia.list.of.trees.and.shrubs
Ficus deltoidea,F,Wikipedia.list.of.trees.and.shrubs
Ficus elastica,F,Wikipedia.list.of.trees.and.shrubs
Ficus kurzii,F,Wikipedia.list.of.trees.and.shrubs
Ficus citrifolia,F,Wikipedia.list.of.trees.and.shrubs
Ficus lutea,F,Wikipedia.list.of.trees.and.shrubs
Ficus lyrata,F,Wikipedia.list.of.trees.and.shrubs
Ficus maclellandii,F,Wikipedia.list.of.trees.and.shrubs
Ficus macrophylla,F,Wikipedia.list.of.trees.and.shrubs
Ficus microcarpa,F,Wikipedia.list.of.trees.and.shrubs
Ficus drupacea,F,Wikipedia.list.of.trees.and.shrubs
Ficus lutea,F,Wikipedia.list.of.trees.and.shrubs
Ficus obliqua,F,Wikipedia.list.of.trees.and.shrubs
Ficus petiolaris,F,Wikipedia.list.of.trees.and.shrubs
Ficus platypoda,F,Wikipedia.list.of.trees.and.shrubs
Ficus religiosa,F,Wikipedia.list.of.trees.and.shrubs
Ficus rubiginosa,F,Wikipedia.list.of.trees.and.shrubs
Ficus natalensis,F,Wikipedia.list.of.trees.and.shrubs
Ficus virens,F,Wikipedia.list.of.trees.and.shrubs
Ficus watkinsiana,F,Wikipedia.list.of.trees.and.shrubs
Maclura cochinchinensis,F,Wikipedia.list.of.trees.and.shrubs
Metrosideros robusta,F,Wikipedia.list.of.trees.and.shrubs
Metrosideros umbellata,F,Wikipedia.list.of.trees.and.shrubs
Schoepfia chrysophylloides,F,Wikipedia.list.of.trees.and.shrubs
Colubrina asiatica,F,Wikipedia.list.of.trees.and.shrubs
Sagittaria lancifolia,F,eMonocot
Sagittaria lancifolia,F,eMonocot
Sagittaria lancifolia,F,eMonocot
Anthurium kunthii,F,eMonocot
Anthurium flexile,F,eMonocot
Anthurium brevipedunculatum,F,eMonocot
Anthurium lineolatum,F,eMonocot
Anthurium canaliculatum,F,eMonocot
Anthurium nigropunctatum,F,eMonocot
Anthurium cuspidiferum,F,eMonocot
Anthurium brevipes,F,eMonocot
Anthurium camposii,F,eMonocot
Anthurium paucinerve,F,eMonocot
Anthurium rhodorhizum,F,eMonocot
Anthurium viridescens,F,eMonocot
Anthurium gaffurii,F,eMonocot
Anthurium magnifolium,F,eMonocot
Anthurium tenuispica,F,eMonocot
Anthurium laciniosum,F,eMonocot
Anthurium kunthii,F,eMonocot
Anthurium nemorale,F,eMonocot
Anthurium pellucidopunctatum,F,eMonocot
Anthurium variegatum,F,eMonocot
Anthurium plurisulcatum,F,eMonocot
Anthurium superbum,F,eMonocot
Anthurium conspicuum,F,eMonocot
Anthurium pallidiflorum,F,eMonocot
Anthurium plantagineum,F,eMonocot
Anthurium polyschistum,F,eMonocot
Anthurium vestitum,F,eMonocot
Anthurium candolleanum,F,eMonocot
Anthurium nitens,F,eMonocot
Anthurium polydactylum,F,eMonocot
Anthurium kunthii,F,eMonocot
Anthurium brittonianum,F,eMonocot
Anthurium occidentale,F,eMonocot
Anthurium cachabianum,F,eMonocot
Anthurium exstipulatum,F,eMonocot
Anthurium cabuyalense,F,eMonocot
Anthurium anceps,F,eMonocot
Anthurium cordiforme,F,eMonocot
Anthurium macrolonchium,F,eMonocot
Anthurium idmense,F,eMonocot
Anthurium bimarginatum,F,eMonocot
Anthurium bullosum,F,eMonocot
Anthurium albidum,F,eMonocot
Anthurium hastifolium,F,eMonocot
Anthurium flexile,F,eMonocot
Anthurium citrifolium,F,eMonocot
Anthurium silanchense,F,eMonocot
Anthurium parambae,F,eMonocot
Anthurium argyrostachyum,F,eMonocot
Anthurium albispatha,F,eMonocot
Anthurium angustilaminatum,F,eMonocot
Anthurium glaucophyllum,F,eMonocot
Anthurium ernestii,F,eMonocot
Anthurium rodrigueziae,F,eMonocot
Anthurium fuscopunctatum,F,eMonocot
Anthurium pirottae,F,eMonocot
Anthurium peltigerum,F,eMonocot
Anthurium albovirescens,F,eMonocot
Anthurium julospadix,F,eMonocot
Anthurium polyneuron,F,eMonocot
Anthurium atropurpureum,F,eMonocot
Anthurium myosurus,F,eMonocot
Anthurium eggersii,F,eMonocot
Anthurium jimenae,F,eMonocot
Anthurium pedunculare,F,eMonocot
Anthurium treleasei,F,eMonocot
Anadendrum microstachyum,F,eMonocot
Anthurium uleanum,F,eMonocot
Anthurium hookeri,F,eMonocot
Anthurium polyphlebium,F,eMonocot
Anthurium flavescens,F,eMonocot
Anthurium maximum,F,eMonocot
Anthurium grandifolium,F,eMonocot
Anthurium vittariifolium,F,eMonocot
Anthurium hieronymi,F,eMonocot
Anthurium ceratiinum,F,eMonocot
Anthurium flexile,F,eMonocot
Anthurium striolatum,F,eMonocot
Anthurium dendrobates,F,eMonocot
Anthurium ecuadorense,F,eMonocot
Anthurium aristatum,F,eMonocot
Anthurium sulcatum,F,eMonocot
Anthurium coerulescens,F,eMonocot
Anthurium geniculatum,F,eMonocot
Anthurium miniatum,F,eMonocot
Anthurium conterminum,F,eMonocot
Anthurium punctatum,F,eMonocot
Anthurium tenuicaule,F,eMonocot
Anthurium buganum,F,eMonocot
Anthurium andraeanum,F,eMonocot
Anthurium pichinchae,F,eMonocot
Anthurium andinum,F,eMonocot
Anthurium latemarginatum,F,eMonocot
Anthurium herthae,F,eMonocot
Anthurium sodiroanum,F,eMonocot
Anthurium siccisilvarum,F,eMonocot
Anthurium cordulatum,F,eMonocot
Anthurium masfense,F,eMonocot
Anthurium nicolasianum,F,eMonocot
Anthurium pohlianum,F,eMonocot
Anthurium riofrioi,F,eMonocot
Anthurium radiatum,F,eMonocot
Anthurium fraseri,F,eMonocot
Anthurium dolichophyllum,F,eMonocot
Anthurium orientale,F,eMonocot
Anthurium huanucense,F,eMonocot
Anthurium vomeriforme,F,eMonocot
Anthurium lanjouwii,F,eMonocot
Philodendron giganteum,F,eMonocot
Anthurium bushii,F,eMonocot
Anthurium knappiae,F,eMonocot
Anthurium scandens,F,eMonocot
Anthurium superbum,F,eMonocot
Anthurium superbum,F,eMonocot
Anthurium ernestii,F,eMonocot
Anthurium esmeraldense,F,eMonocot
Anthurium scandens,F,eMonocot
Anthurium simpsonii,F,eMonocot
Anthurium vaupesianum,F,eMonocot
Anthurium lennartii,F,eMonocot
Anthurium acutangulum,F,eMonocot
Anthurium asplundii,F,eMonocot
Anthurium tenaense,F,eMonocot
Anthurium atropurpureum,F,eMonocot
Anthurium angustilaminatum,F,eMonocot
Anthurium angustilaminatum,F,eMonocot
Anthurium manuanum,F,eMonocot
Anthurium tenuifolium,F,eMonocot
Anthurium galactospadix,F,eMonocot
Anthurium peltatum,F,eMonocot
Anthurium ernestii,F,eMonocot
Anthurium barclayanum,F,eMonocot
Anthurium ottonis,F,eMonocot
Anthurium uleanum,F,eMonocot
Anthurium uleanum,F,eMonocot
Anthurium curtispadix,F,eMonocot
Anthurium latissimum,F,eMonocot
Anthurium atropurpureum,F,eMonocot
Anthurium acutissimum,F,eMonocot
Anthurium willifordii,F,eMonocot
Anthurium sparreorum,F,eMonocot
Anthurium oxyphyllum,F,eMonocot
Anthurium oxycarpum,F,eMonocot
Anthurium pendulifolium,F,eMonocot
Anthurium penningtonii,F,eMonocot
Anthurium dombeyanum,F,eMonocot
Anthurium triphyllum,F,eMonocot
Anthurium atropurpureum,F,eMonocot
Sagittaria lancifolia,E,eMonocot
Sagittaria lancifolia,E,eMonocot
Sagittaria lancifolia,E,eMonocot
Anthurium scandens,E,eMonocot
Philodendron fragrantissimum,E,eMonocot
Anthurium kunthii,C,eMonocot
Philodendron heleniae,C,eMonocot
Anthurium kunthii,C,eMonocot
Anthurium kunthii,C,eMonocot
Anthurium flexile,C,eMonocot
Philodendron chimboanum,C,eMonocot
Philodendron cruentospathum,C,eMonocot
Philodendron acuminatissimum,C,eMonocot
Philodendron balaoanum,C,eMonocot
Philodendron densivenium,C,eMonocot
Philodendron cataniapoense,C,eMonocot
Philodendron guttiferum,C,eMonocot
Philodendron heteropleurum,C,eMonocot
Philodendron exile,C,eMonocot
Philodendron huanucense,C,eMonocot
Philodendron gualeanum,C,eMonocot
Anthurium flexile,C,eMonocot
Anthurium scandens,C,eMonocot
Anthurium scandens,C,eMonocot
Philodendron heleniae,C,eMonocot
Philodendron brunneicaule,C,eMonocot
Philodendron alliodorum,C,eMonocot
Philodendron hebetatum,C,eMonocot
Limnocharis flava,A,eMonocot
Aponogeton ranunculiflorus,A,eMonocot
Aponogeton junceus,A,eMonocot
Afrothismia gesnerioides,F,eMonocot
Afrothismia winkleri,F,eMonocot
Thismia angustimitra,F,eMonocot
Thismia huangii,F,eMonocot
Afrothismia baerae,F,eMonocot
Afrothismia korupensis,F,eMonocot
Afrothismia mhoroana,F,eMonocot
Afrothismia saingei,F,eMonocot
Afrothismia zambesiaca,F,eMonocot
Afrothismia hydra,F,eMonocot
Afrothismia amietii,F,eMonocot
Afrothismia foertheriana,F,eMonocot
Burmannia itoana,F,eMonocot
Campylosiphon purpurascens,F,eMonocot
Cymbocarpa saccata,F,eMonocot
Cymbocarpa refracta,F,eMonocot
Gymnosiphon recurvatus,F,eMonocot
Gymnosiphon samoritoureanus,F,eMonocot
Gymnosiphon longistylus,F,eMonocot
Gymnosiphon capitatus,F,eMonocot
Gymnosiphon brachycephalus,F,eMonocot
Gymnosiphon breviflorus,F,eMonocot
Gymnosiphon fimbriatus,F,eMonocot
Gymnosiphon tenellus,F,eMonocot
Gymnosiphon bekensis,F,eMonocot
Gymnosiphon panamensis,F,eMonocot
Gymnosiphon constrictus,F,eMonocot
Gymnosiphon guianensis,F,eMonocot
Hexapterella gentianoides,F,eMonocot
Hexapterella steyermarkii,F,eMonocot
Miersiella umbellata,F,eMonocot
Oxygyne hyodoi,F,eMonocot
Thismia goodii,F,eMonocot
Thismia luetzelburgii,F,eMonocot
Thismia crocea,F,eMonocot
Thismia mirabilis,F,eMonocot
Thismia abei,F,eMonocot
Thismia chrysops,F,eMonocot
Thismia clavarioides,F,eMonocot
Thismia mullerensis,F,eMonocot
Thismia clandestina,F,eMonocot
Thismia lauriana,F,eMonocot
Thismia tuberculata,F,eMonocot
Thismia ophiuris,F,eMonocot
Thismia neptunis,F,eMonocot
Thismia caudata,F,eMonocot
Thismia alba,F,eMonocot
Thismia brunonis,F,eMonocot
Thismia panamensis,F,eMonocot
Thismia javanica,F,eMonocot
Thismia saulensis,F,eMonocot
Thismia tentaculata,F,eMonocot
Thismia singeri,F,eMonocot
Thismia racemosa,F,eMonocot
Thismia glaziovii,F,eMonocot
Thismia aseroe,F,eMonocot
Thismia melanomitra,F,eMonocot
Thismia labiata,F,eMonocot
Thismia grandiflora,F,eMonocot
Thismia rodwayi,F,eMonocot
Thismia episcopalis,F,eMonocot
Thismia hyalina,F,eMonocot
Thismia americana,F,eMonocot
Thismia taiwanensis,F,eMonocot
Thismia bifida,F,eMonocot
Thismia janeirensis,F,eMonocot
Thismia fungiformis,F,eMonocot
Thismia fumida,F,eMonocot
Thismia annamensis,F,eMonocot
Thismia arachnites,F,eMonocot
Thismia yorkensis,F,eMonocot
Thismia gardneriana,F,eMonocot
Thismia espirito-santensis,F,eMonocot
Tiputinia foetida,F,eMonocot
Thismia macahensis,F,eMonocot
Oxygyne shinzatoi,F,eMonocot
Apteria aphylla,F,eMonocot
Gymnosiphon divaricatus,F,eMonocot
Afrothismia pachyantha,F,eMonocot
Afrothismia winkleri,F,eMonocot
Gymnosiphon cymosus,F,eMonocot
Afrothismia insignis,F,eMonocot
Afrothismia winkleri,F,eMonocot
Gymnosiphon suaveolens,F,eMonocot
Corsia haianjensis,F,eMonocot
Corsia pyramidata,F,eMonocot
Bomarea goniocaulon,F,eMonocot
Bomarea goniocaulon,F,eMonocot
Sandersonia aurantiaca,F,eMonocot
Smilax auriculata,F,eMonocot
Smilax glauca,F,eMonocot
Gloriosa rigidifolia,F,eMonocot
Gloriosa modesta,F,eMonocot
Calochortus kennedyi,F,eMonocot
Corsia crenata,F,eMonocot
Corsia cyclopensis,F,eMonocot
Corsia cornuta,F,eMonocot
Corsia arfakensis,F,eMonocot
Corsia lamellata,F,eMonocot
Corsia acuminata,F,eMonocot
Corsia merimantaensis,F,eMonocot
Corsia huonensis,F,eMonocot
Corsia wiakabui,F,eMonocot
Corsia dispar,F,eMonocot
Corsia clypeata,F,eMonocot
Corsia cordata,F,eMonocot
Corsia purpurata,F,eMonocot
Corsia boridiensis,F,eMonocot
Corsia papuana,F,eMonocot
Corsia ornata,F,eMonocot
Corsia brassii,F,eMonocot
Corsia resiensis,F,eMonocot
Corsia torricellensis,F,eMonocot
Corsia triceratops,F,eMonocot
Corsia unguiculata,F,eMonocot
Corsia viridopurpurea,F,eMonocot
Corsia wubungu,F,eMonocot
Calochortus flexuosus,F,eMonocot
Calochortus kennedyi,F,eMonocot
Calochortus kennedyi,F,eMonocot
Gloriosa superba,F,eMonocot
Bomarea edulis,F,eMonocot
Smilax bona-nox,F,eMonocot
Gloriosa superba,F,eMonocot
Gloriosa superba,F,eMonocot
Bomarea goniocaulon,C,eMonocot
Bomarea goniocaulon,C,eMonocot
Bomarea goniocaulon,C,eMonocot
Bomarea andreana,C,eMonocot
Bomarea nematocaulon,C,eMonocot
Bomarea albimontana,C,eMonocot
Bomarea edulis,C,eMonocot
Cyrtanthus epiphyticus,F,eMonocot
Crinum purpurascens,F,eMonocot
Crinum thaianum,F,eMonocot
Crinum calamistratum,F,eMonocot
Crinum natans,F,eMonocot
Geosiris albiflora,F,eMonocot
Geosiris aphylla,F,eMonocot
Heteropolygonatum xui,F,eMonocot
Bowiea volubilis,F,eMonocot
Bowiea volubilis,F,eMonocot
Bowiea volubilis,F,eMonocot
Eustrephus latifolius,F,eMonocot
Calamus unifarius,F,eMonocot
Calamus simplicifolius,F,eMonocot
Desmoncus mitis,F,eMonocot
Desmoncus mitis,F,eMonocot
Desmoncus mitis,F,eMonocot
Calamus diepenhorstii,F,eMonocot
Calamus melanacanthus,F,eMonocot
Calamus laevigatus,F,eMonocot
Calamus oxleyanus,F,eMonocot
Calamus ornatus,F,eMonocot
Calamus conjugatus,F,eMonocot
Calamus platyspathus,F,eMonocot
Calamus ovoideus,F,eMonocot
Calamus zeylanicus,F,eMonocot
Calamus quinquenervius,F,eMonocot
Calamus divaricatus,F,eMonocot
Calamus unifarius,F,eMonocot
Calamus diepenhorstii,F,eMonocot
Calamus hypoleucus,F,eMonocot
Calamus salicifolius,F,eMonocot
Calamus gracilis,F,eMonocot
Calamus tenuis,F,eMonocot
Calamus palustris,F,eMonocot
Calamus guruba,F,eMonocot
Calamus radulosus,F,eMonocot
Calamus delessertianus,F,eMonocot
Calamus acanthospathus,F,eMonocot
Calamus nicobaricus,F,eMonocot
Retispatha dumetosa,F,eMonocot
Calamus unifarius,F,eMonocot
Calamus oxleyanus,F,eMonocot
Calamus diepenhorstii,F,eMonocot
Calamus rugosus,F,eMonocot
Calamus semoi,F,eMonocot
Calamus muricatus,F,eMonocot
Calamus poensis,F,eMonocot
Calamus psilocladus,F,eMonocot
Calamus leloi,F,eMonocot
Calamus nanodendron,F,eMonocot
Calamus pilosellus,F,eMonocot
Calamus travancoricus,F,eMonocot
Calamus pseudoulur,F,eMonocot
Calamus rheedei,F,eMonocot
Calamus ruvidus,F,eMonocot
Calamus brandisii,F,eMonocot
Calamus baratangensis,F,eMonocot
Calamus perakensis,F,eMonocot
Calamus laevigatus,F,eMonocot
Calamus laevigatus,F,eMonocot
Calamus exilis,F,eMonocot
Calamus viminalis,F,eMonocot
Calamus blumei,F,eMonocot
Calamus conirostris,F,eMonocot
Calamus erioacanthus,F,eMonocot
Calamus sarawakensis,F,eMonocot
Calamus gamblei,F,eMonocot
Calamus crassifolius,F,eMonocot
Calamus acanthochlamys,F,eMonocot
Calamus semierectus,F,eMonocot
Calamus comptus,F,eMonocot
Calamus densiflorus,F,eMonocot
Calamus paspalanthus,F,eMonocot
Calamus axillaris,F,eMonocot
Calamus pogonacanthus,F,eMonocot
Calamus corrugatus,F,eMonocot
Calamus hispidulus,F,eMonocot
Calamus convallium,F,eMonocot
Calamus amplijugus,F,eMonocot
Calamus zonatus,F,eMonocot
Calamus luridus,F,eMonocot
Calamus gonospermus,F,eMonocot
Calamus nematospadix,F,eMonocot
Calamus rotang,F,eMonocot
Calamus flabellatus,F,eMonocot
Calamus pandanosmus,F,eMonocot
Calamus tomentosus,F,eMonocot
Calamus ornatus,F,eMonocot
Calamus divaricatus,F,eMonocot
Calamus erinaceus,F,eMonocot
Calamus floribundus,F,eMonocot
Calamus marginatus,F,eMonocot
Calamus latifolius,F,eMonocot
Calamus gibbsianus,F,eMonocot
Calamus sordidus,F,eMonocot
Calamus nigricans,F,eMonocot
Calamus caesius,F,eMonocot
Calamus javensis,F,eMonocot
Calamus pseudotenuis,F,eMonocot
Desmoncus mitis,F,eMonocot
Ceratolobus subangulatus,F,eMonocot
Ceratolobus discolor,F,eMonocot
Ceratolobus pseudoconcolor,F,eMonocot
Ceratolobus concolor,F,eMonocot
Ceratolobus glaucescens,F,eMonocot
Ceratolobus kingianus,F,eMonocot
Chamaedorea elatior,F,eMonocot
Calamus deerratus,F,eMonocot
Calamus vitiensis,F,eMonocot
Desmoncus mitis,F,eMonocot
Desmoncus mitis,F,eMonocot
Desmoncus mitis,F,eMonocot
Calamus kontumensis,F,eMonocot
Calamus conjugatus,F,eMonocot
Calamus calospathus,F,eMonocot
Calamus oxycarpus,F,eMonocot
Calamus perakensis,F,eMonocot
Calamus digitatus,F,eMonocot
Calamus bimaniferus,F,eMonocot
Calamus salicifolius,F,eMonocot
Calamus hypertrichosus,F,eMonocot
Retispatha dumetosa,F,eMonocot
Desmoncus stans,F,eMonocot
Calamus tenompokensis,F,eMonocot
Calamus poensis,F,eMonocot
Calamus psilocladus,F,eMonocot
Calamus laxissimus,F,eMonocot
Calamus perakensis,F,eMonocot
Calamus perakensis,F,eMonocot
Calamus whitmorei,F,eMonocot
Calamus nielsenii,F,eMonocot
Calamus nematospadix,F,eMonocot
Calamus rotang,F,eMonocot
Desmoncus polyacanthos,F,eMonocot
Calamus meghalayensis,F,eMonocot
Calamus minor,F,eMonocot
Calamus gibbsianus,F,eMonocot
Calamus thwaitesii,F,eMonocot
Desmoncus mitis,F,eMonocot
Ceratolobus subangulatus,F,eMonocot
Ceratolobus kingianus,F,eMonocot
