bad,good
_Myrmecolaelia_fuchsii,Myrmecolaelia_fuchsii
_Bensteinia_ramonensis,Bensteinia_ramonensis
Abarema_cochliacarpos,Abarema_cochliocarpos
Abarema_mataybffolia,Abarema_mataybifolia
Abrus_praecatorius,Abrus_precatorius
Abuta_pahnii,Abuta_pahni
Acacia_adansonii,Acacia_dawsonii
Acacia_auriculaeformis,Acacia_auriculiformis
Acacia_auriculata,Acacia_articulata
Acacia_celsa,Acacia_celastrifolia
Acacia_duckei,Acacia_burkei
Acacia_hayessi,Acacia_hayesii
Acacia_hohenackri,Acacia_hohenackeri
Acacia_inophloia,Acacia_inophyloia
Acacia_lutea,Acacia_luteola
Acacia_macrocephala,Acacia_microcephala
Acacia_mollis,Acacia_mollifolia
Acacia_montingena,Acacia_montigena
Acacia_podalyraefolia,Acacia_podalyriifolia
Acacia_podalyriaefolia,Acacia_podalyriifolia
Acacia_sieberana,Acacia_sieberiana
Acacia_torringtonensis,Acacia_barringtonensis
Acer_circinnatum,Acer_circinatum
Acer_maximowiczii,Acer_maximowiczianum
Acer_mono,Acer_monspessulanum
Acer_pennsylvanicum,Acer_pensylvanicum
Acer_pseudo-platanus,Acer_pseudoplatanus
Acer_pseudo-sieboldianum,Acer_pseudosieboldianum
Achillea_roseoalba,Achillea_roseo-alba
Acridocarpus_smeathmannii,Acridocarpus_smeathmanii
Actinidia_sabiifolia,Actinidia_scabiifolia
Actinidia_sabiifolia,Actinidia_scabiifolia
Actinodaphne_lancifolia,Actinodaphne_latifolia
Adelobotrys_boissierianus,Adelobotrys_boissieriana
Adenanthos_barbiger,Adenanthos_barbigerus
Adenanthos_pamela,Adenanthos_pamelus
Adenanthos_stictus,Adenanthos_strictus
Adromischus_marianiae,Adromischus_marianae
Aegilops_spelta,Aegilops_speltoides
Aegilops_uniaristata,Aegilops_uniatistata
Aegiphila_klotzkiana,Aegiphila_lhotzkiana
Aegiphila_lhotskiana,Aegiphila_lhotzkiana
Aeluropus_badghyzi,Aeluropus_badghyzii
Aeluropus_litoralis,Aeluropus_littoralis
Afrotrichloris_martinii,Afrotrichloris_martini
Afzelia_cuanzensis,Afzelia_quanzensis
Aganosma_schlechterianum,Aganosma_schlechteriana
Agathis_labillardieri,Agathis_labillardierei
Agathis_philippinensis,Agathis_philippensis
Ageratina_lopezmirandae,Ageratina_lopez-mirandae
Aglaia_cordata,Aglaia_costata
Agrostis_alba,Agrostis_ambatoensis
Agrostis_billardieri,Agrostis_billardierei
Agrostis_bourgaei,Agrostis_bourgeaei
Agrostis_elliotiana,Agrostis_elliottiana
Agrostis_hiemalis,Agrostis_hyemalis
Agrostis_juressi,Agrostis_juressii
Agrostis_rossae,Agrostis_rossiae
Agrostis_stricta,Agrostis_striata
Agrostis_taylori,Agrostis_taylorii
Agrostis_tileni,Agrostis_tilenii
Agrostis_trichoides,Agrostis_trichodes
Aira_elegans,Aira_elegantissima
Aira_tenorii,Aira_tenorei
Akebia_longeracemosa,Akebia_longiracemosa
Alafia_bateria,Alafia_barteri
Alangium_salvijolium,Alangium_salviifolium
Albizia_boivini,Albizia_boivinii
Albizia_lebbeckioides,Albizia_lebbekoides
Albizia_lucida,Albizia_lucidior
Alchornea_cordifnlia,Alchornea_cordifolia
Alchornea_triplinerva,Alchornea_triplinervia
Alectryon_excelsum,Alectryon_excelsus
Alectryon_semicinereus,Alectryon_semicinereum
Alectryon_subcinereus,Alectryon_subcinereum
Alectryon_subdentatus,Alectryon_subdentatum
Alectryon_tomentosus,Alectryon_tomentosum
Alepidea_longeciliata,Alepidea_longiciliata
Aleurites_moluccana,Aleurites_moluccanus
Alisma_plantago,Alisma_plantago-aquatica
Alisma_plantago,Alisma_plantago-aquatica
Allium_bigelovii,Allium_bigelowii
Allium_dentiferum,Allium_dentigerum
Allophylus_glaber,Allophylus_glabratus
Allophylus_letestui,Allophylus_le-testui
Alocasia_sanderi,Alocasia_sanderiana
Aloe_antandroy,Aloe_antandroi
Alopecurus_gerardi,Alopecurus_gerardii
Alopecurus_hebeochloides,Alopecurus_heleochloides
Alopecurus_longearistatus,Alopecurus_longiaristatus
Alphitonia_neocaledonia,Alphitonia_neocaledonica
Alphitonia_petrei,Alphitonia_petriei
Alpinia_rugosa,Alpinia_rosacea
Alseodaphne_owdeni,Alseodaphne_owdenii
Alseodaphne_semicarpifolia,Alseodaphne_semecarpifolia
Amianthium_muscaetoxicum,Amianthium_muscitoxicum
Amomum_brachychilum,Amomum_brachychilus
Amomum_laxesquamosum,Amomum_laxisquamosum
Amomyrtella_guili,Amomyrtella_guilii
Amorphophallus_saraburensis,Amorphophallus_saraburiensis
Ampelocissus_spicigera,Ampelocissus_spicifer
Ampelocissus_spicigera,Ampelocissus_spicifer
Ampelodesmos_mauritanica,Ampelodesmos_mauritanicus
Amyema_pendulum,Amyema_pendula
Anacamptis_duquesneyi,Anacamptis_duquesnei
Anaphyllopsis_americanum,Anaphyllopsis_americana
Anchietea_frangulaefolia,Anchietea_frangulifolia
Andropogon_cirginirus,Andropogon_virginicus
Andropogon_gerardi,Andropogon_gerardii
Androstephium_coeruleum,Androstephium_caeruleum
Anemopaegma_crysoleucum,Anemopaegma_chrysoleucum
